rediscovery_c1ccc2cccc-2cc1_mean,rediscovery_c1ccc2cccc-2cc1_med,rediscovery_c1ccc2cccc-2cc1_min,rediscovery_c1ccc2cccc-2cc1_max,rediscovery_c1ccc2cccc-2cc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.07380621838505991,0.07142857142857142,0.0,0.4117647058823529,0.0612117584562662,0.07380621838505991,0.07142857142857142,0.0,0.4117647058823529,0.0612117584562662,643,10,1.8498573303222656,0,0,9,0,0,0,0,0
0.07373037665099284,0.07080200501253132,0.0,0.4117647058823529,0.061372485913845705,0.07373037665099284,0.07080200501253132,0.0,0.4117647058823529,0.061372485913845705,653,10,1.869107961654663,0,0,3,0,0,0,0,0
0.07400500943084486,0.06997144022847818,0.0,0.4117647058823529,0.06213747529465535,0.07400500943084486,0.06997144022847818,0.0,0.4117647058823529,0.06213747529465535,663,10,1.8895907402038574,0,0,9,0,0,0,0,0
0.07427186667006327,0.07142857142857142,0.0,0.4117647058823529,0.062212780360540926,0.07427186667006327,0.07142857142857142,0.0,0.4117647058823529,0.062212780360540926,673,10,1.9184234142303467,0,0,17,0,0,0,0,0
0.07394835765183516,0.07142857142857142,0.0,0.4117647058823529,0.0620576264771794,0.07394835765183516,0.07142857142857142,0.0,0.4117647058823529,0.0620576264771794,683,10,1.9524857997894287,0,0,29,0,0,0,0,0
0.07498953198330073,0.07142857142857142,0.0,0.4117647058823529,0.06338318256964288,0.07498953198330073,0.07142857142857142,0.0,0.4117647058823529,0.06338318256964288,693,10,1.97727632522583,0,0,15,0,0,0,0,0
0.0762215038006686,0.07142857142857142,0.0,0.4117647058823529,0.06475158453070978,0.0762215038006686,0.07142857142857142,0.0,0.4117647058823529,0.06475158453070978,703,10,2.010962724685669,0,0,31,0,0,0,0,0
0.07648128052356806,0.07294900221729489,0.0,0.4117647058823529,0.06469650514784386,0.07648128052356806,0.07294900221729489,0.0,0.4117647058823529,0.06469650514784386,713,10,2.0294554233551025,0,0,4,0,0,0,0,0
0.07675747488981047,0.07362240289069558,0.0,0.4117647058823529,0.06465130118922735,0.07675747488981047,0.07362240289069558,0.0,0.4117647058823529,0.06465130118922735,723,10,2.054429054260254,0,0,12,0,0,0,0,0
0.07758067353689342,0.07407407407407407,0.0,0.4117647058823529,0.06506114436744423,0.07758067353689342,0.07407407407407407,0.0,0.4117647058823529,0.06506114436744423,733,10,2.085209846496582,0,0,21,0,0,0,0,0
0.07818280618000942,0.07523584905660377,0.0,0.4117647058823529,0.06579903722311378,0.07818280618000942,0.07523584905660377,0.0,0.4117647058823529,0.06579903722311378,743,10,2.1199796199798584,0,0,33,0,0,0,0,0
0.07865477165843736,0.07547169811320754,0.0,0.4117647058823529,0.06648777732579778,0.07865477165843736,0.07547169811320754,0.0,0.4117647058823529,0.06648777732579778,753,10,2.14438796043396,0,0,14,0,0,0,0,0
0.07855814122497635,0.07547169811320754,0.0,0.4117647058823529,0.06676181821618264,0.07855814122497635,0.07547169811320754,0.0,0.4117647058823529,0.06676181821618264,763,10,2.1853554248809814,0,0,44,0,0,0,0,0
0.07871991045186155,0.07547169811320754,0.0,0.4117647058823529,0.06752340440791886,0.07871991045186155,0.07547169811320754,0.0,0.4117647058823529,0.06752340440791886,773,10,2.2117834091186523,0,0,14,0,0,0,0,0
0.07874290331348656,0.07547169811320754,0.0,0.4117647058823529,0.06797029246837824,0.07874290331348656,0.07547169811320754,0.0,0.4117647058823529,0.06797029246837824,783,10,2.240631341934204,0,0,20,0,0,0,0,0
0.07955503939219621,0.07547169811320754,0.0,0.4117647058823529,0.06875915778384126,0.07955503939219621,0.07547169811320754,0.0,0.4117647058823529,0.06875915778384126,793,10,2.2688677310943604,0,0,21,0,0,0,0,0
