step,error
37,C=CC=C (Mutation error)
37,C=CC(=C)CC1CC1 (Mutation error)
38,C=CC(=C)C=C(C)CC(C)C (Mutation error)
38,C=CC(=C)C (Mutation error)
38,C#CC(=C)C=C (Mutation error)
38,C=CC(=C)C(C)C (Mutation error)
38,C=CC(=C)C1=CC1 (Mutation error)
38,C#CCC(=C)C=C (Mutation error)
38,C=CC(=C)C1CC1 (Mutation error)
38,C=CC=C (Mutation error)
39,C=CC(=C)C=CC (Mutation error)
40,C=CC(=C)C (Mutation error)
41,C=C(C)C(=C)C=C(C)C (Mutation error)
41,C=CC(=C)C=CCC (Mutation error)
41,C#CC(=C)C=C (Mutation error)
41,C=CC(=C)C(C)C (Mutation error)
42,C=CC(=C)C=C(C)C (Mutation error)
42,C=CC(=C)C=CCC (Mutation error)
42,C=CC(=C)C (Mutation error)
42,C#CC(=C)C=C (Mutation error)
42,C=CC(=C)C(C)C (Mutation error)
42,C=CCC=C(C=C)CC(C)C (Mutation error)
42,C=CC(=C)C1CC1 (Mutation error)
43,C=C(C)C(=C)C=CC (Mutation error)
43,C=C(C)C(=C)C=C(C)C (Mutation error)
43,C=CC(=C)C=C(C)CC (Mutation error)
43,C=CC(=C)C=CCC (Mutation error)
43,C=CC(=C)C (Mutation error)
44,C=CC(=C)C(=C)C (Mutation error)
44,C=CC(=C)C=CC (Mutation error)
44,C=CC(=C)C=C(C)CCCC (Mutation error)
45,C=CC(=C)CC=C(C)C (Mutation error)
45,C=CC(=C)CC=C(C)CC (Mutation error)
46,C=CC(=C)C(=C)C (Mutation error)
46,C=CC(=C)C(C)=C(C)CC (Mutation error)
46,C=C(C)C(=C)C=CC (Mutation error)
46,C=CC(=C)CC=C(C)C (Mutation error)
46,C=CC(=C)CC=C(C)CC (Mutation error)
47,C=CC(=C)C(=C)C (Mutation error)
47,C=CC(=C)C(C)=CC (Mutation error)
47,C=CC(=C)C(C)=C(C)CCC (Mutation error)
47,C=CC(=C)CC(C)=C(C)C (Mutation error)
48,C=CC(=C)C(C)=CC (Mutation error)
48,C=CC(=C)C(C)=C(C)CC (Mutation error)
48,C=CCC(=C)C(=C)C (Mutation error)
48,C=C(C)C(=C)C=CCC (Mutation error)
49,C=CC(=C)C(C)=C(C)C (Mutation error)
49,C=CC(=C)C(C)=C(C)CC (Mutation error)
49,C=CC(=C)CC(=C)C (Mutation error)
49,C=C(C)C(=C)C(=C)CC (Mutation error)
49,C=CC(C=C)=CC (Mutation error)
49,C=C(C)C(=C)C=C(C)C (Mutation error)
49,C=C(C)C(=C)C=CCC (Mutation error)
49,C=CC(=C)C=C(C)CC (Mutation error)
50,C=CC(=C)C=C (Mutation error)
50,C=CC(=C)C(C)=C(C)CC (Mutation error)
50,C=CC(=C)C(C)=C(C)CCC (Mutation error)
50,C=C(C)C(=C)C(=C)CC (Mutation error)
50,C=C(C)C(=C)C=CC (Mutation error)
51,C=CC(=C)C(C)=CC (Mutation error)
51,C=CC(=C)C(C)=C(C)C (Mutation error)
51,C=CC(=C)C(C)=C(C)CCC (Mutation error)
51,C=CC(=C)C(C)=C(C)CCCC (Mutation error)
51,C=CC(=C)C(C)=C(CC)CCCC (Mutation error)
51,C=CC(C=C)=CC (Mutation error)
51,C=CC(=C)C=C(C)C (Mutation error)
52,C=CC(=C)C(=C)CCCC (Mutation error)
52,C=CC(=C)C(C)=C(C)CC (Mutation error)
52,C=C(C)C(=C)C(=C)C (Mutation error)
52,C=CC(=C)CC(=C)C (Mutation error)
52,C=C(C)C(=C)C(=C)CC (Mutation error)
53,C=CC(=C)C(=C)C (Mutation error)
53,C=CC(=C)C(C)=C(C)C (Mutation error)
54,C=CC(=C)C(=C)C (Mutation error)
54,C=CC(=C)C=C (Mutation error)
54,C=C(C)C(=C)C(=C)C (Mutation error)
54,C=C(C)C(=C)C(=C)CC (Mutation error)
54,C=CC(=C)C(C)=C(C)CCCC (Mutation error)
55,C=CC(=C)C(=C)C (Mutation error)
55,C=CC(=C)C=C (Mutation error)
55,C=CC(=C)CC(=C)C (Mutation error)
55,C=C(C)C(=C)C(=C)CC (Mutation error)
56,C=CC(=C)C=C (Mutation error)
56,C=CC(=C)C(=CC)CC (Mutation error)
56,C=CC(=C)C(=CCC)CC (Mutation error)
57,C=CC(=C)C(C)=C(C)C (Mutation error)
57,C=CC(=C)C(C)=CCC (Mutation error)
57,C=CC(=C)C(=CC)CC (Mutation error)
57,C=CC(=C)C(C)=C(C)CC (Mutation error)
57,C=CC(=C)C(=CCC)CC (Mutation error)
58,C=CC(=C)C=C (Mutation error)
58,C=CC(=C)C(=CC)CC (Mutation error)
58,C=CC(=C)C(C)=CCC (Mutation error)
58,C=CC(=C)C(C)=C(C)CC (Mutation error)
58,C=CC(=C)C(=CC)CCC (Mutation error)
58,C#CCC=C(C)C(=C)C=C (Mutation error)
58,C=C(C)C(=C)C(=C)C (Mutation error)
58,C=CC(=C)C(C)=C(C)CCC (Mutation error)
59,C=CC(=C)C(=C)C (Mutation error)
59,C=CC(=C)C(=C)CCC (Mutation error)
59,C=CC(=C)C(=C)CCCC (Mutation error)
59,C=CC(=C)C(C)=C(C)C (Mutation error)
59,C=CC(=C)C(C)=CCC (Mutation error)
59,C=CC(=C)C(=CC)CC (Mutation error)
59,C=CCC(=C)C=C (Mutation error)
59,C#CCC=C(C)C(=C)C=C (Mutation error)
59,C=CC(=C)C(C)=CCCC (Mutation error)
