step,error
51,CC1(C)c2ccccc21 (Mutation error)
51,CC1Cc2ccccc21 (Mutation error)
51,c1ccc2c(c1)CCC2 (Mutation error)
52,Cc1ccccc1 (Mutation error)
52,C1=Cc2ccccc21 (Mutation error)
52,c1ccc2c(c1)C2 (Mutation error)
53,c1ccccc1 (Mutation error)
53,CCCCc1ccccc1 (Mutation error)
53,c1ccc2c(c1)C2 (Mutation error)
54,c1ccccc1 (Mutation error)
54,c1cc2cc-2c1 (Mutation error)
54,CCc1ccccc1 (Mutation error)
54,CCCc1ccccc1 (Mutation error)
54,c1ccc2c(c1)CC2 (Mutation error)
55,c1ccccc1 (Mutation error)
55,Cc1ccccc1 (Mutation error)
55,c1cc2cc-2c1 (Mutation error)
55,CCc1ccccc1 (Mutation error)
55,CC(C)c1ccccc1 (Mutation error)
55,c1ccc2c(c1)CC2 (Mutation error)
55,CCc1ccccc1C (Mutation error)
56,c1ccccc1 (Mutation error)
56,C1=Cc2ccccc21 (Mutation error)
56,CC(C)c1ccccc1 (Mutation error)
56,c1ccc2c(c1)C2 (Mutation error)
56,Cc1ccccc1C (Mutation error)
56,CC1c2ccccc21 (Mutation error)
56,c1ccc2c(c1)CC2 (Mutation error)
57,c1ccccc1 (Mutation error)
57,c1cc2cc-2c1 (Mutation error)
57,CC(C)c1ccccc1 (Mutation error)
57,CC1CC1c1ccccc1 (Mutation error)
57,CC1C(C)C1c1ccccc1 (Mutation error)
58,c1cc2cc-2c1 (Mutation error)
58,C1=Cc2ccccc21 (Mutation error)
59,CCCc1ccccc1 (Mutation error)
59,CC1C(C)C1c1ccccc1 (Mutation error)
59,c1ccc2c(c1)C2 (Mutation error)
60,Cc1ccccc1 (Mutation error)
60,c1cc2ccc1-2 (Mutation error)
60,c1cc2cc-2c1 (Mutation error)
60,CCCCc1ccccc1 (Mutation error)
60,c1ccc2c(c1)C2 (Mutation error)
60,CC1c2ccccc21 (Mutation error)
61,CCc1ccccc1 (Mutation error)
62,c1ccccc1 (Mutation error)
62,CCc1ccccc1 (Mutation error)
62,C=Cc1ccccc1 (Mutation error)
62,CC(C)c1ccccc1 (Mutation error)
62,CC1C(C)C1c1ccccc1 (Mutation error)
62,c1ccc2c(c1)C2 (Mutation error)
63,c1ccccc1 (Mutation error)
63,Cc1ccccc1 (Mutation error)
63,CC1CC1c1ccccc1 (Mutation error)
63,CC1C(C)C1c1ccccc1 (Mutation error)
63,c1ccc2c(c1)C2 (Mutation error)
64,c1ccccc1 (Mutation error)
64,c1cc2cc-2c1 (Mutation error)
64,CCCCc1ccccc1 (Mutation error)
65,c1cc2cc-2c1 (Mutation error)
65,C=Cc1ccccc1 (Mutation error)
66,c1ccccc1 (Mutation error)
66,Cc1ccccc1 (Mutation error)
66,c1cc2cc-2c1 (Mutation error)
66,C=Cc1ccccc1 (Mutation error)
66,CC1(c2ccccc2)CC1 (Mutation error)
67,c1ccccc1 (Mutation error)
67,CCc1ccccc1 (Mutation error)
67,C1=Cc2ccccc21 (Mutation error)
68,c1ccccc1 (Mutation error)
68,Cc1ccccc1 (Mutation error)
68,c1cc2ccc1-2 (Mutation error)
68,c1cc2cc-2c1 (Mutation error)
68,CCCc1ccccc1 (Mutation error)
68,CCC(C)c1ccccc1 (Mutation error)
68,CC(C)Cc1ccccc1 (Mutation error)
68,CC1CC1c1ccccc1 (Mutation error)
68,CC1C(C)C1c1ccccc1 (Mutation error)
68,c1ccc2c(c1)C2 (Mutation error)
68,CCCC(C)c1ccccc1 (Mutation error)
68,Cc1ccccc1C (Mutation error)
68,CC1c2ccccc21 (Mutation error)
68,CC1(C)c2ccccc21 (Mutation error)
69,Cc1ccccc1 (Mutation error)
69,c1cc2ccc1-2 (Mutation error)
69,c1cc2cc-2c1 (Mutation error)
69,C=Cc1ccccc1 (Mutation error)
69,CCCc1ccccc1 (Mutation error)
69,CC1CC1c1ccccc1 (Mutation error)
70,CCCc1ccccc1 (Mutation error)
71,c1ccccc1 (Mutation error)
71,Cc1ccccc1 (Mutation error)
71,CCc1ccccc1 (Mutation error)
71,C1=Cc2ccccc21 (Mutation error)
71,CC(C)(C)c1ccccc1 (Mutation error)
72,c1ccccc1 (Mutation error)
72,c1cc2ccc1-2 (Mutation error)
72,c1cc2cc-2c1 (Mutation error)
72,C1=Cc2ccccc21 (Mutation error)
72,CC(C)c1ccccc1 (Mutation error)
72,CC(C)(C)c1ccccc1 (Mutation error)
73,c1ccccc1 (Mutation error)
73,Cc1ccccc1 (Mutation error)
73,c1cc2ccc1-2 (Mutation error)
73,c1cc2cc-2c1 (Mutation error)
73,C=Cc1ccccc1 (Mutation error)
73,C1=Cc2ccccc21 (Mutation error)
73,CC(C)(C)c1ccccc1 (Mutation error)
74,c1ccccc1 (Mutation error)
74,c1cc2cc-2c1 (Mutation error)
74,CCc1ccccc1 (Mutation error)
74,C=C(C)c1ccccc1 (Mutation error)
74,CCC(C)c1ccccc1 (Mutation error)
75,c1ccccc1 (Mutation error)
75,Cc1ccccc1 (Mutation error)
75,c1cc2cc-2c1 (Mutation error)
75,CCc1ccccc1 (Mutation error)
75,CC(C)c1ccccc1 (Mutation error)
76,c1ccccc1 (Mutation error)
76,Cc1ccccc1 (Mutation error)
76,c1cc2cc-2c1 (Mutation error)
76,C1=Cc2ccccc21 (Mutation error)
76,CCCc1ccccc1 (Mutation error)
77,c1ccccc1 (Mutation error)
77,Cc1ccccc1 (Mutation error)
77,c1cc2ccc1-2 (Mutation error)
77,CC(C)c1ccccc1 (Mutation error)
77,CCCc1ccccc1 (Mutation error)
77,CC=Cc1ccccc1 (Mutation error)
77,CC(C)(C)c1ccccc1 (Mutation error)
78,c1ccccc1 (Mutation error)
78,Cc1ccccc1 (Mutation error)
78,c1cc2ccc1-2 (Mutation error)
78,C1=Cc2ccccc21 (Mutation error)
78,CCCc1ccccc1 (Mutation error)
79,c1ccccc1 (Mutation error)
79,Cc1ccccc1 (Mutation error)
79,c1cc2cc-2c1 (Mutation error)
79,CC(C)c1ccccc1 (Mutation error)
79,C=C(C)c1ccccc1 (Mutation error)
79,CCCc1ccccc1 (Mutation error)
80,c1ccccc1 (Mutation error)
80,Cc1ccccc1 (Mutation error)
80,CCc1ccccc1 (Mutation error)
80,C1=Cc2ccccc21 (Mutation error)
81,c1ccccc1 (Mutation error)
81,Cc1ccccc1 (Mutation error)
81,c1cc2ccc1-2 (Mutation error)
81,c1cc2cc-2c1 (Mutation error)
81,C=Cc1ccccc1 (Mutation error)
81,CCc1ccccc1 (Mutation error)
81,C1=Cc2ccccc21 (Mutation error)
81,CC(C)c1ccccc1 (Mutation error)
81,CCCc1ccccc1 (Mutation error)
81,CC(C)(C)c1ccccc1 (Mutation error)
81,C1=Cc2ccccc2C1 (Mutation error)
81,CCCCc1ccccc1 (Mutation error)
81,CCC(C)(C)c1ccccc1 (Mutation error)
82,c1ccccc1 (Mutation error)
82,Cc1ccccc1 (Mutation error)
82,c1cc2ccc1-2 (Mutation error)
82,c1cc2cc-2c1 (Mutation error)
82,CC(C)c1ccccc1 (Mutation error)
82,CC=Cc1ccccc1 (Mutation error)
82,CCCc1ccccc1 (Mutation error)
83,c1ccccc1 (Mutation error)
83,Cc1ccccc1 (Mutation error)
83,CCc1ccccc1 (Mutation error)
83,C=Cc1ccccc1 (Mutation error)
83,C1=Cc2ccccc21 (Mutation error)
83,CC=Cc1ccccc1 (Mutation error)
84,c1ccccc1 (Mutation error)
84,Cc1ccccc1 (Mutation error)
84,c1cc2ccc1-2 (Mutation error)
84,C=Cc1ccccc1 (Mutation error)
84,C1=Cc2ccccc21 (Mutation error)
84,C=C(C)c1ccccc1 (Mutation error)
84,CC=Cc1ccccc1 (Mutation error)
85,c1ccccc1 (Mutation error)
85,Cc1ccccc1 (Mutation error)
85,C1=CC(c2ccccc2)C1 (Mutation error)
85,c1cc2ccc1-2 (Mutation error)
85,c1cc2cc-2c1 (Mutation error)
85,CCc1ccccc1 (Mutation error)
85,CC(C)c1ccccc1 (Mutation error)
85,CCCc1ccccc1 (Mutation error)
85,C=CCc1ccccc1 (Mutation error)
85,C=C(C)Cc1ccccc1 (Mutation error)
86,C1=CC=1c1ccccc1 (Mutation error)
86,Cc1ccccc1 (Mutation error)
86,c1cc2cc-2c1 (Mutation error)
86,C=CCc1ccccc1 (Mutation error)
87,c1ccccc1 (Mutation error)
87,C1=CC(c2ccccc2)C1 (Mutation error)
87,c1cc2ccc1-2 (Mutation error)
87,c1cc2cc-2c1 (Mutation error)
88,c1ccccc1 (Mutation error)
88,c1cc2ccc1-2 (Mutation error)
88,c1cc2cc-2c1 (Mutation error)
89,C1=CC=1c1ccccc1 (Mutation error)
89,Cc1ccccc1 (Mutation error)
89,c1cc2cc-2c1 (Mutation error)
89,CCc1ccccc1 (Mutation error)
89,CC(C)c1ccccc1 (Mutation error)
90,c1ccccc1 (Mutation error)
90,Cc1ccccc1 (Mutation error)
90,c1cc2ccc1-2 (Mutation error)
90,c1cc2cc-2c1 (Mutation error)
90,CCc1ccccc1 (Mutation error)
90,C=Cc1ccccc1 (Mutation error)
90,C1=Cc2ccccc21 (Mutation error)
90,CC(C)c1ccccc1 (Mutation error)
90,CC=Cc1ccccc1 (Mutation error)
90,C1=Cc2ccccc2C1 (Mutation error)
90,CCC(C)c1ccccc1 (Mutation error)
90,C=C(C)Cc1ccccc1 (Mutation error)
90,CCCCc1ccccc1 (Mutation error)
91,c1ccccc1 (Mutation error)
91,c1cc2ccc1-2 (Mutation error)
91,c1cc2cc-2c1 (Mutation error)
91,C=Cc1ccccc1 (Mutation error)
91,C1=Cc2ccccc21 (Mutation error)
91,CCCc1ccccc1 (Mutation error)
91,CC(C)(C)c1ccccc1 (Mutation error)
92,c1ccccc1 (Mutation error)
92,Cc1ccccc1 (Mutation error)
92,CCc1ccccc1 (Mutation error)
92,C1=Cc2ccccc21 (Mutation error)
92,CCCc1ccccc1 (Mutation error)
92,CC=Cc1ccccc1 (Mutation error)
92,C1=Cc2ccccc2C1 (Mutation error)
93,c1ccccc1 (Mutation error)
93,Cc1ccccc1 (Mutation error)
93,C1=CC(c2ccccc2)C1 (Mutation error)
93,c1cc2ccc1-2 (Mutation error)
93,C1=Cc2ccccc21 (Mutation error)
93,CC(C)c1ccccc1 (Mutation error)
93,C=C(C)c1ccccc1 (Mutation error)
93,CC=Cc1ccccc1 (Mutation error)
93,CCCc1ccccc1 (Mutation error)
94,c1ccccc1 (Mutation error)
94,Cc1ccccc1 (Mutation error)
94,CCc1ccccc1 (Mutation error)
94,C1=Cc2ccccc21 (Mutation error)
94,CCCc1ccccc1 (Mutation error)
95,c1ccccc1 (Mutation error)
95,Cc1ccccc1 (Mutation error)
95,CCc1ccccc1 (Mutation error)
95,C1=CCC(c2ccccc2)C1 (Mutation error)
96,c1ccccc1 (Mutation error)
96,C1=CC(c2ccccc2)C1 (Mutation error)
96,c1cc2cc-2c1 (Mutation error)
96,C=Cc1ccccc1 (Mutation error)
96,C1=Cc2ccccc21 (Mutation error)
96,CC(C)c1ccccc1 (Mutation error)
97,C1=CC=1c1ccccc1 (Mutation error)
97,C1=C(c2ccccc2)CCCC1 (Mutation error)
97,c1ccccc1 (Mutation error)
