step,error
107,Cc1cccc2ccccc12 (Mutation error)
108,CCCCc1cccc2ccccc12 (Mutation error)
108,Cc1ccc2ccccc2c1 (Mutation error)
108,Cc1cccc2ccc3c(c12)C3 (Mutation error)
108,CCc1ccc2ccccc2c1 (Mutation error)
109,Cc1cccc2c(C)cccc12 (Mutation error)
109,CCCCc1cccc2ccccc12 (Mutation error)
110,Cc1cccc2ccccc12 (Mutation error)
110,CCCCc1cccc2ccccc12 (Mutation error)
110,Cc1ccc2ccccc2c1 (Mutation error)
110,Cc1ccc(C)c2ccccc12 (Mutation error)
111,Cc1cccc2cccc(C)c12 (Mutation error)
111,Cc1ccc2ccccc2c1 (Mutation error)
113,Cc1cccc2ccccc12 (Mutation error)
113,CCCCc1cccc2ccccc12 (Mutation error)
113,CCCCCc1cccc2ccccc12 (Mutation error)
113,Cc1ccc2ccccc2c1 (Mutation error)
114,c1ccc2ccccc2c1 (Mutation error)
114,CCCCc1cccc2ccccc12 (Mutation error)
114,CC(C)CCc1cccc2ccccc12 (Mutation error)
114,CCCCCc1cccc2ccccc12 (Mutation error)
114,Cc1ccc2ccccc2c1 (Mutation error)
115,Cc1cccc2cccc(C)c12 (Mutation error)
115,CCCCCc1cccc2ccccc12 (Mutation error)
115,Cc1ccc2ccccc2c1 (Mutation error)
115,Cc1ccc2ccccc2c1C (Mutation error)
116,CCc1cccc2ccccc12 (Mutation error)
116,CCc1cccc2cccc(C)c12 (Mutation error)
117,Cc1cccc2ccccc12 (Mutation error)
117,c1cc2c3c4cc-3c2c4c1 (Mutation error)
118,c1cc2c3c-2cccc3c1 (Mutation error)
119,c1ccc2ccccc2c1 (Mutation error)
119,Cc1cccc2cccc(C)c12 (Mutation error)
119,Cc1cccc2c(C)cccc12 (Mutation error)
120,c1ccc2ccccc2c1 (Mutation error)
120,Cc1cccc2ccccc12 (Mutation error)
120,CCc1cccc2cccc(C)c12 (Mutation error)
120,CC(C)CCc1cccc2ccccc12 (Mutation error)
121,c1ccc2ccccc2c1 (Mutation error)
121,Cc1ccc2c3cccc2c13 (Mutation error)
121,Cc1cccc2ccccc12 (Mutation error)
121,CCc1cccc2ccccc12 (Mutation error)
121,CCc1cccc2cccc(C)c12 (Mutation error)
121,Cc1cccc2c(C)cccc12 (Mutation error)
121,c1cc2c3c4cc-3c2c4c1 (Mutation error)
121,CCC(C)c1cccc2ccccc12 (Mutation error)
121,CCCCc1cccc2ccccc12 (Mutation error)
121,CC1C2C(c3cccc4ccccc34)C12 (Mutation error)
121,CCCCCc1cccc2ccccc12 (Mutation error)
121,Cc1ccc2ccccc2c1 (Mutation error)
122,c1cc2c3c-2cccc3c1 (Mutation error)
123,c1ccc2ccccc2c1 (Mutation error)
123,Cc1cccc2ccccc12 (Mutation error)
124,Cc1cccc2cccc(C)c12 (Mutation error)
124,Cc1cccc2c(C)cccc12 (Mutation error)
125,Cc1cccc2ccccc12 (Mutation error)
125,CCc1cccc2ccccc12 (Mutation error)
125,CCCc1cccc2ccccc12 (Mutation error)
125,c1cc2c3c4cc-3c2c4c1 (Mutation error)
125,CCCCc1cccc2ccccc12 (Mutation error)
126,c1cc2c3ccc4c1c3c42 (Mutation error)
126,Cc1cccc2ccccc12 (Mutation error)
126,CCc1cccc2cccc(C)c12 (Mutation error)
127,Cc1cccc2ccccc12 (Mutation error)
127,C1#Cc2cccc3cccc1c23 (Mutation error)
127,Cc1cc2c3cccc2c3c1C (Mutation error)
128,Cc1ccc2c3cccc2c13 (Mutation error)
128,Cc1cccc2ccccc12 (Mutation error)
128,Cc1cccc2cccc(C)c12 (Mutation error)
128,C1#Cc2cccc3cccc1c23 (Mutation error)
128,Cc1cc2c3cccc2c3c1C (Mutation error)
129,c1ccc2ccccc2c1 (Mutation error)
129,C1#Cc2cccc3cccc1c23 (Mutation error)
129,CCc1cccc2cccc(C)c12 (Mutation error)
129,Cc1cccc2c(C)cccc12 (Mutation error)
129,CCC(C)c1cccc2ccccc12 (Mutation error)
130,c1ccc2ccccc2c1 (Mutation error)
130,Cc1cccc2cccc(C)c12 (Mutation error)
131,c1ccc2ccccc2c1 (Mutation error)
131,c1cc2c3c-2cccc3c1 (Mutation error)
131,Cc1cccc2ccccc12 (Mutation error)
131,Cc1cccc2cccc(C)c12 (Mutation error)
131,CCCc1cccc2ccccc12 (Mutation error)
132,c1ccc2ccccc2c1 (Mutation error)
132,Cc1ccc2c3cccc2c13 (Mutation error)
132,Cc1cccc2cccc(C)c12 (Mutation error)
132,C1#Cc2cccc3cccc1c23 (Mutation error)
132,CCCc1cccc2ccccc12 (Mutation error)
132,Cc1cccc2c(C)cccc12 (Mutation error)
132,c1cc2c3c4cc-3c2c4c1 (Mutation error)
132,CCC(C)c1cccc2ccccc12 (Mutation error)
133,c1ccc2ccccc2c1 (Mutation error)
133,Cc1cccc2ccccc12 (Mutation error)
134,c1ccc2ccccc2c1 (Mutation error)
134,Cc1ccc2c3cccc2c13 (Mutation error)
134,C1#Cc2cccc3cccc1c23 (Mutation error)
135,c1cc2c3cccc2c3c1 (Mutation error)
135,c1ccc2ccccc2c1 (Mutation error)
135,c1cc2c3ccc4c1c3c42 (Mutation error)
135,Cc1ccc2c3cccc2c13 (Mutation error)
135,Cc1cccc2ccccc12 (Mutation error)
135,Cc1cccc2c(C)cccc12 (Mutation error)
135,c1cc2c3c4cc-3c2c4c1 (Mutation error)
136,c1cc2c3cccc2c3c1 (Mutation error)
136,c1ccc2ccccc2c1 (Mutation error)
136,Cc1ccc2c3cccc2c13 (Mutation error)
136,Cc1cccc2ccccc12 (Mutation error)
136,CCc1cccc2ccccc12 (Mutation error)
136,CCCc1cccc2ccccc12 (Mutation error)
136,Cc1cccc2c(C)cccc12 (Mutation error)
137,c1cc2c3ccc4c1c3c42 (Mutation error)
