smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
CC(=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1C2=C=C21,1,219,0.7160493827160493,0.7160493827160493,0.0008280277252197266,
Cc1cc2ccc3ccc4ccc5ccc6ccc1c1c4c5c6c3c21,1,283,0.7631578947368421,0.7631578947368421,0.0006804466247558594,
C=C(C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1C=C1,1,217,0.7160493827160493,0.7160493827160493,0.0008308887481689453,
c1cc2ccc1c1cc3ccc4cc1c1c2c2c5ccc(cc5)c2c4c31,0,294,0.725,0.725,0.0008673667907714844,
C=CC=c1ccc2ccc3ccc4ccc1c1c2c3c2c3ccc(cc3)c2c41,5,334,0.7228915662650602,0.7228915662650602,0.0009176731109619141,
CC1=CC1=CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,243,0.7160493827160493,0.7160493827160493,0.0008215904235839844,
CC(=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1=C=C1,3,244,0.7160493827160493,0.7160493827160493,0.0008592605590820312,
C=Cc1cc2ccc3ccc4ccc5ccc6ccc1c1c6c3c4c5c21,2,242,0.7341772151898734,0.7341772151898734,0.0007092952728271484,
CCC#CC=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,28,716,0.7341772151898734,0.7341772151898734,0.0008251667022705078,
CC1(C)C2=C1C2=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,4,379,0.725,0.725,0.0008690357208251953,
c1cc2ccc3ccc4ccc5cc6cc7ccc1c6c1c7c4c3c2c51,1,574,0.7468354430379747,0.7468354430379747,0.0009284019470214844,
CC1(C=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C2=C=C21,0,222,0.7160493827160493,0.7160493827160493,0.0008237361907958984,
CC1=C=C(C=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,0,243,0.7160493827160493,0.7160493827160493,0.0008265972137451172,
CC1(C)CC1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,7,752,0.7532467532467533,0.7532467532467533,0.0008549690246582031,
C#CCC(C#C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,224,0.7160493827160493,0.7160493827160493,0.0008265972137451172,
C1=C2C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C2C1,36,667,0.7341772151898734,0.7341772151898734,0.0008547306060791016,
C=C1C(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C12C#C2,3,248,0.7160493827160493,0.7160493827160493,0.0008466243743896484,
C(=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C1CC1,1,749,0.7631578947368421,0.7631578947368421,0.0008480548858642578,
C#Cc1cc2ccc3ccc4ccc5ccc6ccc1c1c4c5c6c3c21,1,231,0.7341772151898734,0.7341772151898734,0.0006928443908691406,
Cc1ccc2ccc3ccc4ccc5ccc(C)c6c5c2c1c4c36,4,591,0.7333333333333333,0.7333333333333333,0.0006420612335205078,
CC(=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14)C(C)C,11,376,0.725,0.725,0.0008616447448730469,
C1=C2C=C2C1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,13,367,0.725,0.725,0.0009555816650390625,
CC=C=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,5,750,0.7631578947368421,0.7631578947368421,0.0008313655853271484,
c1cc2ccc3ccc1c1c(=C4C5C67CC56C47)c2c2c4ccc(cc4)c2c31,1,225,0.7160493827160493,0.7160493827160493,0.0009062290191650391,
C=CCC(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,7,751,0.7435897435897436,0.7435897435897436,0.0009014606475830078,
C=CC(C(=C)C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,9,340,0.725,0.725,0.0008573532104492188,
c1cc2ccc3ccc4cc1c(C1CC1)c1c2c2c5ccc(cc5)c2c3c41,4,644,0.7283950617283951,0.7283950617283951,0.0010454654693603516,
CCC=c1ccc2ccc3ccc4ccc1c1c2c3c2c3ccc(cc3)c2c41,6,427,0.7228915662650602,0.7228915662650602,0.0008380413055419922,
C=CC(C1=C=C1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,203,0.7160493827160493,0.7160493827160493,0.0008144378662109375,
C#CC(C)=C=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,227,0.7160493827160493,0.7160493827160493,0.0008461475372314453,
CC#CCC(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,245,0.7160493827160493,0.7160493827160493,0.0008928775787353516,
c1cc2ccc3ccc1c1c(=C4C5=C6C5C64)c2c2c4ccc(cc4)c2c31,16,702,0.7435897435897436,0.7435897435897436,0.0009140968322753906,
C=C=Cc1c2ccc3ccc4ccc(c2)c2c1c3c1c3ccc(cc3)c1c42,2,422,0.7283950617283951,0.7283950617283951,0.0009167194366455078,
c1cc2ccc3ccc1c1c(=C4C56C7C5C476)c2c2c4ccc(cc4)c2c31,35,578,0.7435897435897436,0.7435897435897436,0.0009720325469970703,
CC=CC(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,3,246,0.7160493827160493,0.7160493827160493,0.0008537769317626953,
C=C(C)C(C)=C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,10,350,0.725,0.725,0.0008928775787353516,
C=CC1=CC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,1,246,0.7160493827160493,0.7160493827160493,0.0008327960968017578,
