rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_mean,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_med,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_min,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_max,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.06315186231200613,0.056179775280898875,0.0,0.26666666666666666,0.05144160310535044,0.06315186231200613,0.056179775280898875,0.0,0.26666666666666666,0.05144160310535044,923,10,2.1021370887756348,0,0,0,0,0,0,0,0
0.06358806792829716,0.056179775280898875,0.0,0.26666666666666666,0.05165109768005949,0.06358806792829716,0.056179775280898875,0.0,0.26666666666666666,0.05165109768005949,933,10,2.123814821243286,0,0,6,0,0,0,0,0
0.06441895462694028,0.056818181818181816,0.0,0.26666666666666666,0.052161017583555874,0.06441895462694028,0.056818181818181816,0.0,0.26666666666666666,0.052161017583555874,943,10,2.145500659942627,0,0,6,0,0,0,0,0
0.06503414041467569,0.05747126436781609,0.0,0.26666666666666666,0.05264673773714806,0.06503414041467569,0.05747126436781609,0.0,0.26666666666666666,0.05264673773714806,953,10,2.171110153198242,0,0,8,0,0,0,0,0
0.06559383098296984,0.05747126436781609,0.0,0.2948717948717949,0.05340543781530954,0.06559383098296984,0.05747126436781609,0.0,0.2948717948717949,0.05340543781530954,963,10,2.1951584815979004,0,0,5,0,0,0,0,0
0.06591257077868717,0.05747126436781609,0.0,0.2948717948717949,0.05356321513121988,0.06591257077868717,0.05747126436781609,0.0,0.2948717948717949,0.05356321513121988,973,10,2.2228710651397705,0,0,19,0,0,0,0,0
0.06663781999198184,0.05747126436781609,0.0,0.2948717948717949,0.05392991038251591,0.06663781999198184,0.05747126436781609,0.0,0.2948717948717949,0.05392991038251591,983,10,2.246263027191162,0,0,7,0,0,0,0,0
0.06713377689001551,0.05747126436781609,0.0,0.2948717948717949,0.05431922508836697,0.06713377689001551,0.05747126436781609,0.0,0.2948717948717949,0.05431922508836697,993,10,2.2739527225494385,0,0,16,0,0,0,0,0
0.06829499680663065,0.05813953488372093,0.0,0.3142857142857143,0.0553168150360758,0.06829499680663065,0.05813953488372093,0.0,0.3142857142857143,0.0553168150360758,1003,10,2.3083527088165283,0,0,39,0,0,0,0,0
0.06940475844620206,0.058823529411764705,0.0,0.3142857142857143,0.055306720292047216,0.06940475844620206,0.058823529411764705,0.0,0.3142857142857143,0.055306720292047216,1013,10,2.3302459716796875,0,0,4,0,0,0,0,0
0.07050609611123936,0.05952380952380952,0.0,0.3142857142857143,0.05553651430926789,0.07050609611123936,0.05952380952380952,0.0,0.3142857142857143,0.05553651430926789,1023,10,2.3600833415985107,0,0,14,0,0,0,0,0
0.07156815071563148,0.060240963855421686,0.0,0.3142857142857143,0.05546165473916499,0.07156815071563148,0.060240963855421686,0.0,0.3142857142857143,0.05546165473916499,1033,10,2.389888286590576,0,0,7,0,0,0,0,0
0.07265488204206691,0.061855670103092786,0.0,0.3142857142857143,0.05543115654786585,0.07265488204206691,0.061855670103092786,0.0,0.3142857142857143,0.05543115654786585,1043,10,2.4206466674804688,0,0,9,0,0,0,0,0
0.07396007610896291,0.06521739130434782,0.0,0.3142857142857143,0.05561944211991061,0.07396007610896291,0.06521739130434782,0.0,0.3142857142857143,0.05561944211991061,1053,10,2.4440133571624756,0,0,2,0,0,0,0,0
0.07522256644697531,0.06593406593406594,0.0,0.3142857142857143,0.0556895280954084,0.07522256644697531,0.06593406593406594,0.0,0.3142857142857143,0.0556895280954084,1063,10,2.4684863090515137,0,0,5,0,0,0,0,0
0.07633971711959679,0.06593406593406594,0.0,0.3142857142857143,0.055589843491310846,0.07633971711959679,0.06593406593406594,0.0,0.3142857142857143,0.055589843491310846,1073,10,2.495335102081299,0,0,5,0,0,0,0,0
0.07783449079865241,0.06741573033707865,0.0,0.3142857142857143,0.05574111486076719,0.07783449079865241,0.06741573033707865,0.0,0.3142857142857143,0.05574111486076719,1083,10,2.5182430744171143,0,0,7,0,0,0,0,0
0.07907962352431289,0.06818181818181818,0.0,0.3142857142857143,0.055838202867400724,0.07907962352431289,0.06818181818181818,0.0,0.3142857142857143,0.055838202867400724,1093,10,2.545248508453369,0,0,9,0,0,0,0,0
