rediscovery_C(=Cc1ccccc1)c1ccccc1_mean,rediscovery_C(=Cc1ccccc1)c1ccccc1_med,rediscovery_C(=Cc1ccccc1)c1ccccc1_min,rediscovery_C(=Cc1ccccc1)c1ccccc1_max,rediscovery_C(=Cc1ccccc1)c1ccccc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5561369274188984,0.5483870967741935,0.5384615384615384,0.6296296296296297,0.016134624412762658,0.5561369274188984,0.5483870967741935,0.5384615384615384,0.6296296296296297,0.016134624412762658,112743,10,291.43266320228577,0,1300,153,0,0,0,0,0
0.556289400494178,0.55,0.5396825396825397,0.6296296296296297,0.01608332396157455,0.556289400494178,0.55,0.5396825396825397,0.6296296296296297,0.01608332396157455,114290,10,295.51548886299133,0,1537,149,0,0,0,0,0
0.556377495144349,0.55,0.5396825396825397,0.6296296296296297,0.016051754045404248,0.556377495144349,0.55,0.5396825396825397,0.6296296296296297,0.016051754045404248,115319,10,298.1107726097107,0,1019,124,0,0,0,0,0
0.5564706703969109,0.55,0.5396825396825397,0.6296296296296297,0.016001084339098432,0.5564706703969109,0.55,0.5396825396825397,0.6296296296296297,0.016001084339098432,116146,10,300.2004237174988,0,817,115,0,0,0,0,0
0.5565698343048983,0.55,0.5396825396825397,0.6296296296296297,0.015986232806875035,0.5565698343048983,0.55,0.5396825396825397,0.6296296296296297,0.015986232806875035,117431,10,303.5945360660553,0,1275,123,0,0,0,0,0
0.5566722733815076,0.55,0.5396825396825397,0.6296296296296297,0.01598207416334868,0.5566722733815076,0.55,0.5396825396825397,0.6296296296296297,0.01598207416334868,118114,10,305.38367676734924,0,673,102,0,0,0,0,0
0.5568151358467304,0.551224387806097,0.5396825396825397,0.6296296296296297,0.015966054344808252,0.5568151358467304,0.551224387806097,0.5396825396825397,0.6296296296296297,0.015966054344808252,118791,10,307.1319854259491,0,667,110,0,0,0,0,0
0.5568444045434564,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.01595454526145056,0.5568444045434564,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.01595454526145056,119799,10,309.8097701072693,0,998,135,0,0,0,0,0
0.5569076649871026,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.015912307853881966,0.5569076649871026,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.015912307853881966,120535,10,311.6818766593933,0,726,88,0,0,0,0,0
0.5569281556075932,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.015893559721389023,0.5569281556075932,0.5517241379310345,0.5396825396825397,0.6296296296296297,0.015893559721389023,121529,10,314.2126410007477,0,984,95,0,0,0,0,0
0.5569695717894507,0.5519814719505919,0.5396825396825397,0.6296296296296297,0.01587186015643426,0.5569695717894507,0.5519814719505919,0.5396825396825397,0.6296296296296297,0.01587186015643426,122754,10,317.3421950340271,0,1215,127,0,0,0,0,0
0.5570297791054054,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015846946449551813,0.5570297791054054,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015846946449551813,123862,10,320.1377911567688,0,1098,120,0,0,0,0,0
0.5571872753832676,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015883600962849975,0.5571872753832676,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015883600962849975,124658,10,322.2173776626587,0,786,101,0,0,0,0,0
0.557308247094137,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.01582288864758559,0.557308247094137,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.01582288864758559,125310,10,323.9152557849884,0,642,94,0,0,0,0,0
0.5574500497359396,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015768273664375863,0.5574500497359396,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015768273664375863,126117,10,325.96643710136414,0,797,112,0,0,0,0,0
0.5575236428095327,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015744881868455272,0.5575236428095327,0.5522388059701493,0.5396825396825397,0.6296296296296297,0.015744881868455272,126721,10,327.5303421020508,0,594,85,0,0,0,0,0
0.5576246467599769,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015735794008134275,0.5576246467599769,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015735794008134275,127803,10,330.3703727722168,0,1072,133,0,0,0,0,0
0.5577623987681142,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.01570312858963618,0.5577623987681142,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.01570312858963618,128509,10,332.2514593601227,0,696,97,0,0,0,0,0
0.5579595550428771,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015705542673727427,0.5579595550428771,0.5538461538461539,0.5396825396825397,0.6296296296296297,0.015705542673727427,129042,10,333.65737104415894,0,523,51,0,0,0,0,0
