step,error
42,CC1=CC=CC2C=CC1C=C2 (Mutation error)
43,Cc1ccccc1 (Mutation error)
43,C1=CC=C1 (Mutation error)
43,C1=CC=CCC=CC=1 (Mutation error)
43,C1=CC=CCC=CCC=1 (Mutation error)
43,C1=CC=CC=1 (Mutation error)
43,CC1CC2C=CC=CC1C=C2 (Mutation error)
43,CC1=CC23C=CC(C=C1)C2=C3 (Mutation error)
44,C1=CC=CC=CC=1 (Mutation error)
44,C1=CC=C1 (Mutation error)
44,C1=CC=CCC=CC=1 (Mutation error)
44,c1cc2cc-2c1 (Mutation error)
44,C1=CC2C=CC(C=C1)C2 (Mutation error)
44,c1cc2cc(c1)C2 (Mutation error)
44,C1=CCC=C1 (Mutation error)
44,C1=CC=CC=1 (Mutation error)
44,CC1=CC2C=CC(C=C1)C=C2 (Mutation error)
45,Cc1ccccc1 (Mutation error)
45,C1=CC=C1 (Mutation error)
45,c1cc2cc(c1)C2 (Mutation error)
45,C1=CC=CC=1 (Mutation error)
45,C1=CCC=C1 (Mutation error)
