step,error
34,CC1=CC2=CC12C (Mutation error)
34,CCC1C2=C1C=C2 (Mutation error)
35,C1=CC=C1 (Mutation error)
35,C1=C2C=C12 (Mutation error)
35,C1=C2C=C1C2 (Mutation error)
35,CC1=CC=C1 (Mutation error)
35,CC1C2=CC1=C2 (Mutation error)
35,C1=CC2C=C12 (Mutation error)
35,CC12C=CC1=C2 (Mutation error)
35,C1=C2C=C1CC2 (Mutation error)
36,C1=CC=C1 (Mutation error)
36,C1=C2C=C1C2 (Mutation error)
36,CC1=CC=C1 (Mutation error)
36,C1=CC2C=C12 (Mutation error)
36,CC12C=CC1=C2 (Mutation error)
36,C1=C2CC13C=C23 (Mutation error)
37,C1=C2C=C12 (Mutation error)
37,C1=CC=C1 (Mutation error)
37,CC1=CC=C1 (Mutation error)
37,CC1=CC(C)=C1 (Mutation error)
37,C1=CCC=C1 (Mutation error)
37,CCC1=CC=C1 (Mutation error)
37,C1=C2CC13C=C23 (Mutation error)
37,CC1C2=C1C=C2 (Mutation error)
37,C1=C2C=C(C1)C2 (Mutation error)
38,C1=C2C=C12 (Mutation error)
38,C1=CC=C1 (Mutation error)
38,C1=C2C=C1C2 (Mutation error)
38,CC1=CC=C1 (Mutation error)
38,C1=C2C3=CC123 (Mutation error)
38,C1=CC2=CC=12 (Mutation error)
38,C1=CC2C=C12 (Mutation error)
38,C1=CCC=C1 (Mutation error)
38,CCC1=CC=C1 (Mutation error)
38,C1=C2C=C(C1)C2 (Mutation error)
38,C1=C2CC=C2C1 (Mutation error)
38,C1=C2C=C1CC2 (Mutation error)
39,C1=CC=C1 (Mutation error)
39,C1=C2C=C12 (Mutation error)
39,C1=C2C=C1C2 (Mutation error)
39,CC1=CC=C1 (Mutation error)
39,C1=C2C=C2C1 (Mutation error)
39,CC1C2=CC1=C2 (Mutation error)
39,CC1=CC(C)=C1 (Mutation error)
39,CC1=CC=C1C (Mutation error)
39,CC1=C(C)C=C1 (Mutation error)
39,C1=CCC=C1 (Mutation error)
39,C#CC1=CC=C1 (Mutation error)
39,CC12C=CC1=C2 (Mutation error)
39,CC1C=CC=C1 (Mutation error)
39,CC1=CCC=C1 (Mutation error)
39,C1=C2C=CC=1C2 (Mutation error)
40,C1=CC=C1 (Mutation error)
40,C1=C2C=C12 (Mutation error)
40,C1=C2C=C1C2 (Mutation error)
40,CC1=CC=C1 (Mutation error)
40,C1=C2C3=CC123 (Mutation error)
40,C1=CC2C=C12 (Mutation error)
40,C1=CC2=CC=12 (Mutation error)
40,CC1=C(C)C=C1 (Mutation error)
40,C1=CCC=C1 (Mutation error)
40,CC12C=CC1=C2 (Mutation error)
40,CC1C2=C1C=C2 (Mutation error)
40,C1=C2CC13C=C23 (Mutation error)
40,CC1=C2C=CC12 (Mutation error)
40,C1=C2C=CC=1C2 (Mutation error)
