rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_mean,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_med,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_min,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_max,rediscovery_C1=C2C=c3ccccc3=C2c2ccccc21_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5574880244827832,0.5633802816901409,0.5070422535211268,0.7142857142857143,0.031984787067240956,0.5574880244827832,0.5633802816901409,0.5070422535211268,0.7142857142857143,0.031984787067240956,47965,10,152.0016644001007,0,455,57,0,0,0,0,0
0.5578622117003569,0.5633802816901409,0.5070422535211268,0.7142857142857143,0.031776393853678156,0.5578622117003569,0.5633802816901409,0.5070422535211268,0.7142857142857143,0.031776393853678156,48362,10,153.2781491279602,0,387,58,0,0,0,0,0
0.5583650300797617,0.5661907852044127,0.5070422535211268,0.7142857142857143,0.03144538030132313,0.5583650300797617,0.5661907852044127,0.5070422535211268,0.7142857142857143,0.03144538030132313,48973,10,155.0677890777588,0,601,66,0,0,0,0,0
0.5586771394509648,0.5671641791044776,0.5070422535211268,0.7142857142857143,0.031218838792273378,0.5586771394509648,0.5671641791044776,0.5070422535211268,0.7142857142857143,0.031218838792273378,49419,10,156.47849011421204,0,436,59,0,0,0,0,0
0.5591920807253211,0.5693376068376068,0.5070422535211268,0.7142857142857143,0.03092304619416281,0.5591920807253211,0.5693376068376068,0.5070422535211268,0.7142857142857143,0.03092304619416281,49944,10,158.12111163139343,0,515,51,0,0,0,0,0
0.5597982910191958,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.030540034648401708,0.5597982910191958,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.030540034648401708,50236,10,159.02303671836853,0,282,35,0,0,0,0,0
0.5602145225021992,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.030195270277183762,0.5602145225021992,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.030195270277183762,50860,10,160.93135476112366,0,614,63,0,0,0,0,0
0.5606917420016807,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029822410868715066,0.5606917420016807,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029822410868715066,51380,10,162.57358121871948,0,510,63,0,0,0,0,0
0.5612022948248233,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029456957050801917,0.5612022948248233,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029456957050801917,52042,10,164.62653732299805,0,652,77,0,0,0,0,0
0.5616857327417885,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029155287559075576,0.5616857327417885,0.5714285714285714,0.5072463768115942,0.7142857142857143,0.029155287559075576,52617,10,166.4394896030426,0,565,76,0,0,0,0,0
0.5619203322612398,0.5714285714285714,0.5076923076923077,0.7142857142857143,0.02891698182784944,0.5619203322612398,0.5714285714285714,0.5076923076923077,0.7142857142857143,0.02891698182784944,53261,10,168.31209874153137,0,634,76,0,0,0,0,0
0.5623156977004268,0.5714285714285714,0.5138888888888888,0.7142857142857143,0.028612395858507163,0.5623156977004268,0.5714285714285714,0.5138888888888888,0.7142857142857143,0.028612395858507163,53671,10,169.59246683120728,0,400,60,0,0,0,0,0
0.5626970045334329,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02830146298672543,0.5626970045334329,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02830146298672543,54330,10,171.58876752853394,0,649,64,0,0,0,0,0
0.5632208623366615,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02796012053088073,0.5632208623366615,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02796012053088073,54854,10,173.2035255432129,0,514,55,0,0,0,0,0
0.5636815491629331,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02758698157551871,0.5636815491629331,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02758698157551871,55424,10,174.93155550956726,0,560,58,0,0,0,0,0
0.5641955127006281,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02714998873991705,0.5641955127006281,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.02714998873991705,56088,10,177.00841522216797,0,654,62,0,0,0,0,0
0.5645608300638258,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.026836065978184796,0.5645608300638258,0.5714285714285714,0.5142857142857142,0.7142857142857143,0.026836065978184796,56696,10,178.9279284477234,0,598,74,0,0,0,0,0
0.5649816799616283,0.5714285714285714,0.5147058823529411,0.7142857142857143,0.026536238050953037,0.5649816799616283,0.5714285714285714,0.5147058823529411,0.7142857142857143,0.026536238050953037,57196,10,180.46153855323792,0,490,54,0,0,0,0,0
0.5652709687351003,0.5714285714285714,0.5147058823529411,0.7142857142857143,0.02631431437123538,0.5652709687351003,0.5714285714285714,0.5147058823529411,0.7142857142857143,0.02631431437123538,57817,10,182.31888628005981,0,611,81,0,0,0,0,0
0.565698468970683,0.5714285714285714,0.5211267605633803,0.7142857142857143,0.02596577142816498,0.565698468970683,0.5714285714285714,0.5211267605633803,0.7142857142857143,0.02596577142816498,58245,10,183.70782661437988,0,418,52,0,0,0,0,0
0.5660083349763256,0.5714285714285714,0.5211267605633803,0.7142857142857143,0.025736602326304828,0.5660083349763256,0.5714285714285714,0.5211267605633803,0.7142857142857143,0.025736602326304828,58652,10,184.92354011535645,0,397,41,0,0,0,0,0
0.5663929330058252,0.5714285714285714,0.5217391304347826,0.7142857142857143,0.025388327722352045,0.5663929330058252,0.5714285714285714,0.5217391304347826,0.7142857142857143,0.025388327722352045,59413,10,187.25921964645386,0,751,89,0,0,0,0,0
0.5668599797161107,0.5714285714285714,0.5217391304347826,0.7142857142857143,0.02501941360156565,0.5668599797161107,0.5714285714285714,0.5217391304347826,0.7142857142857143,0.02501941360156565,60113,10,189.46075987815857,0,690,79,0,0,0,0,0
0.5673296194000469,0.5714285714285714,0.5223880597014925,0.7142857142857143,0.024743439121598352,0.5673296194000469,0.5714285714285714,0.5223880597014925,0.7142857142857143,0.024743439121598352,60718,10,191.31360960006714,0,595,59,0,0,0,0,0
0.5676521407564628,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.024476025594173736,0.5676521407564628,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.024476025594173736,61339,10,193.2346613407135,0,611,58,0,0,0,0,0
0.5679728921910464,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.024186788671188217,0.5679728921910464,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.024186788671188217,62115,10,195.61190056800842,0,766,104,0,0,0,0,0
0.5682815224447911,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.02392242987631523,0.5682815224447911,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.02392242987631523,63013,10,198.28684854507446,0,888,92,0,0,0,0,0
0.568531280470067,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.023660970071640915,0.568531280470067,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.023660970071640915,63807,10,200.752272605896,0,784,96,0,0,0,0,0
0.5687937980878509,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.02342144514875718,0.5687937980878509,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.02342144514875718,64603,10,203.15805292129517,0,786,106,0,0,0,0,0
0.5692094597067064,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.023220977951618982,0.5692094597067064,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.023220977951618982,65209,10,204.94415736198425,0,596,65,0,0,0,0,0
0.5694431890884538,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.022975770984348314,0.5694431890884538,0.5714285714285714,0.5277777777777778,0.7142857142857143,0.022975770984348314,65785,10,206.72255420684814,0,566,79,0,0,0,0,0
0.5698131034419928,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.02265890360269365,0.5698131034419928,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.02265890360269365,66482,10,208.82638835906982,0,687,102,0,0,0,0,0
0.5700781476378106,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.02235060833024776,0.5700781476378106,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.02235060833024776,67287,10,211.3046464920044,0,795,87,0,0,0,0,0
