[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.3514418601989746] Updated in round 93! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.35230255126953125] Updated in round 94! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3532264232635498] Updated in round 95! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3541116714477539] Updated in round 96! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.35492610931396484] Updated in round 97! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.35575389862060547] Updated in round 98! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.35654377937316895] Updated in round 99! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.36836814880371094] Updated in round 100! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.369276762008667] Updated in round 101! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(-99999, '')
[0.3701357841491699] Updated in round 102! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.0, 'C=CC=CC=CC=C')
[0.37097668647766113] Updated in round 103! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.0, 'C=CC=C')
[0.3718247413635254] Updated in round 104! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.029850746268656716, 'C#CC1=C(C(C=C)=CC=C)C#C1')
[0.3840901851654053] Updated in round 105! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.041666666666666664, 'C=CC=C(C=C)C1=C(C2=C3C=C32)C#C1')
[0.39670825004577637] Updated in round 106! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.05555555555555555, 'C=CC1=C2C=C1C2=C')
[0.39758872985839844] Updated in round 107! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.06666666666666667, 'C#Cc1cc2c(C=C)cc1=2')
[0.39850878715515137] Updated in round 108! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.07407407407407407, 'C=CC=CC1=CC=C1')
[0.3993971347808838] Updated in round 109! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.08333333333333333, 'C=C1C2=CC=C12')
[0.4003264904022217] Updated in round 110! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.10416666666666667, 'C=C1C=CC=C1')
[0.40123748779296875] Updated in round 111! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.11764705882352941, 'C=C1C=C1C1=C(c2cc3cc-3c2)C#C1')
[0.4021759033203125] Updated in round 112! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.12698412698412698, 'C=CC1=C(c2c3cccc2-3)C#C1')
[0.40308523178100586] Updated in round 113! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.13432835820895522, 'C=C1C=C1C1=C(c2c3cccc2-3)C#C1')
[0.40397143363952637] Updated in round 114! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.14285714285714285, 'C#CC(=C)c1ccc2cc1-2')
[0.4170365333557129] Updated in round 115! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.1506849315068493, 'c1c2c3cccc(c3)c3cc4c(cc34)c2c#1')
[0.41797399520874023] Updated in round 116! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.15714285714285714, 'C=CC(=C)C1=C(c2ccc(C=C)cc2)C#C1')
[0.4189732074737549] Updated in round 117! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.16363636363636364, 'C#Cc1cccc(C=C)c1')
[0.431044340133667] Updated in round 118! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.16666666666666666, 'c1c2c3cccc(c3)c3cc(c3)c=2c#1')
[0.43204522132873535] Updated in round 119! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.16923076923076924, 'C#Cc1cccc(C2=C(C=C)C#C2)c1')
[0.4329800605773926] Updated in round 120! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.17391304347826086, 'C#Cc1ccc(C2=C(C3=CC3=C)C#C2)cc1')
