[0.011400222778320312]Start running EvoMol from [H][H]...
[0.5325889587402344] Updated in round 153! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2692307692307692, 'c1ccc2c3c4cc(cc3-4)c2c1')
[0.5487582683563232] Updated in round 154! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2711864406779661, 'C=CC(=CC(=C)c1ccccc1)C1=CC#C1')
[0.5499708652496338] Updated in round 155! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.27692307692307694, 'C#Cc1ccc2cc1C1=C(C#C1)c1ccccc1-2')
[0.5511095523834229] Updated in round 156! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2786885245901639, 'c1ccc2cccc(c2)c2cccc(c#1)c2')
[0.5521538257598877] Updated in round 157! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.28, 'C#CC(C=C)=Cc1ccccc1')
[0.5534813404083252] Updated in round 158! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.28125, 'C#CC(=C)C=CC=CC1=C(c2ccccc2)C#C1')
[0.572678804397583] Updated in round 159! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2833333333333333, 'C=CC#Cc1cc2cc(c1)-c1ccccc1-2')
[0.573998212814331] Updated in round 160! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2833333333333333, 'C=CC=Cc1ccc2c(c1)-c1ccccc1-2')
[0.5753107070922852] Updated in round 161! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2857142857142857, 'C=CC(C=C)=CC(=C)C1=C(c2ccccc2)C#C1')
[0.5765459537506104] Updated in round 162! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.288135593220339, 'C=CC=C(C=Cc1ccccc1)C=C1C=C1')
[0.5778789520263672] Updated in round 163! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.288135593220339, 'C#CC(=C)c1cc2cc(c1)-c1ccc-2cc1')
[0.5789220333099365] Updated in round 164! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2909090909090909, 'C#Cc1cc2ccc1-c1ccc-2cc1')
[0.593782901763916] Updated in round 165! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.29411764705882354, 'c1cc2c3c(c1)-c1c-2cccc1-3')
[0.5952208042144775] Updated in round 166! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2962962962962963, 'C#CC(=Cc1ccccc1)C1=CC#C1')
[0.596705436706543] Updated in round 167! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.296875, 'C#Cc1cccc2c3c(c4ccccc4c12)C#C3')
[0.598137617111206] Updated in round 168! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.30158730158730157, 'C#CC1=CC(c2ccc3c(c2)-c2ccccc2-3)=C1')
[0.6162204742431641] Updated in round 169! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C1=CC1=Cc1cc2cc(c1)-c1ccc-2cc1')
[0.6177027225494385] Updated in round 170! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C=CC=Cc1cccc(-c2c3cccc2-3)c1')
[0.6193771362304688] Updated in round 171! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C1=CC(c2cc3cc(c2)-c2ccccc2-3)=C1')
[0.6205921173095703] Updated in round 172! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C=CC1=C(C2=C(c3ccccc3)C#C2)C#C1')
[0.636465311050415] Updated in round 173! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3103448275862069, 'C=C1C=C1c1cc2cc(c1)-c1ccccc1-2')
[0.6381993293762207] Updated in round 174! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3103448275862069, 'C=CC1=C2C(C3=C(c4ccccc4)C#C3)=C12')
[0.6398470401763916] Updated in round 175! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3103448275862069, 'C#CC(=CC=C)C1=C(c2ccccc2)C#C1')
[0.641291618347168] Updated in round 176! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3148148148148148, 'C#Cc1cc2ccc1c1ccccc21')
[0.6588315963745117] Updated in round 177! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.31746031746031744, 'C=c1c2c#cc3ccccc3c3cccc(c3)c1=2')
[0.6601076126098633] Updated in round 178! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.31746031746031744, 'C=Cc1cccc2c1-c1cccc(c1)C1=C2C#C1')
[0.6623961925506592] Updated in round 179! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3181818181818182, 'C=CC1=C2C1=C2c1cccc(-c2ccc(C=C)cc2)c1')
[0.6746809482574463] Updated in round 180! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.32, 'c1cc2cc(c1)-c1c3cc-2cc1-3')
[0.6765625476837158] Updated in round 181! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3225806451612903, 'C=c1c2ccccc2c2cccc(c2)c2c3c1c23')
