[7.319450378417969e-05]Start running EvoMol from [H][H]...
[0.36122608184814453] Updated in round 113! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.1694915254237288, 'C#Cc1cccc(C(=C)C=CC=C)c1')
[0.3622140884399414] Updated in round 114! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.17857142857142858, 'c1cc2c3cc4cc(c3)c2cc14')
[0.36318087577819824] Updated in round 115! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.18867924528301888, 'C=CC(=C)c1cccc(C=C)c1')
[0.3641970157623291] Updated in round 116! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.203125, 'C#CC=Cc1ccc2c3ccc(cc3)c2c1')
[0.3651447296142578] Updated in round 117! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20634920634920634, 'C#CC(=C)c1ccc2c3ccc(cc3)c2c1')
[0.3660874366760254] Updated in round 118! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.20833333333333334, 'C#Cc1cccc(C=C)c1')
[0.3798081874847412] Updated in round 119! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2222222222222222, 'C1=CC1=Cc1ccc2c3ccc(cc3)c2c1')
[0.38087034225463867] Updated in round 120! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22413793103448276, 'C#Cc1cc2cc(c1)c1cccc2c1')
[0.3818318843841553] Updated in round 121! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22580645161290322, 'C#CC#CC(=C)C=CC=Cc1ccccc1')
[0.3828871250152588] Updated in round 122! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22727272727272727, 'C1=C2c3cccc1c32')
[0.39907169342041016] Updated in round 123! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22950819672131148, 'C#CC#CC(=C)C=C(C=C)c1ccccc1')
[0.40035343170166016] Updated in round 124! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.22950819672131148, 'C=CC(=C)C=CC=CC(=C)c1ccccc1')
[0.40137720108032227] Updated in round 125! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.23255813953488372, 'C=c1c2cccc1c2')
[0.40276026725769043] Updated in round 126! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2413793103448276, 'c1cc2ccc(cc2)c2ccc1cc2')
[0.4039633274078369] Updated in round 127! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.24193548387096775, 'C1=C2C1=C2c1cc2cc(c1)c1cccc2c1')
[0.4050326347351074] Updated in round 128! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2459016393442623, 'C#CC(=C)c1cccc2c3ccc(cc3)c12')
[0.42310214042663574] Updated in round 129! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25, 'C=CC(C=C)=CC=Cc1ccccc1')
[0.424161434173584] Updated in round 130! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25, 'C=CC(=C)C=CC=Cc1ccccc1')
[0.4252486228942871] Updated in round 131! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2545454545454545, 'C#CC(=C)C=C(C=C)c1ccccc1')
[0.4265413284301758] Updated in round 132! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2553191489361702, 'C=C1C2=C1c1ccccc12')
[0.42784881591796875] Updated in round 133! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.25806451612903225, 'C1=c2c1cc1ccc(cc1)c1cccc2c1')
[0.44328880310058594] Updated in round 134! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26153846153846155, 'C=CC1=C(c2cc3ccc2c2ccccc32)C1=C')
[0.44464564323425293] Updated in round 135! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26229508196721313, 'C1=CC1=Cc1cccc2c3ccc(cc3)c12')
[0.44591474533081055] Updated in round 136! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26229508196721313, 'C#CC=Cc1cccc(-c2cc3cc-3c2)c1')
[0.4475562572479248] Updated in round 137! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26666666666666666, 'C=C(C=CC=CC1=CC#C1)c1ccccc1')
[0.4655308723449707] Updated in round 138! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.26666666666666666, 'C=CC(=C)c1cccc(-c2cc3cc-3c2)c1')
[0.4667041301727295] Updated in round 139! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2692307692307692, 'C1=CC=Cc2cccc(c2)C=C1')
[0.468428373336792] Updated in round 140! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2692307692307692, 'c1cc(-c2cc3ccc2-3)c2cc1-2')
[0.4697093963623047] Updated in round 141! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2711864406779661, 'C=CC=C(C=CC1=CC1=C)c1ccccc1')
[0.4899601936340332] Updated in round 142! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2786885245901639, 'c1cc2cc(c1)c1cccc(c1)c1ccc2-1')
[0.4914541244506836] Updated in round 143! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.28125, 'C=CC1=C2C1=C2c1ccc2c(c1)-c1ccccc1-2')
[0.49264955520629883] Updated in round 144! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2833333333333333, 'C1=CC1=Cc1cc2ccc1-c1ccc-2cc1')
[0.49417781829833984] Updated in round 145! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2833333333333333, 'C=CC=Cc1cc2cc(c1)-c1ccc-2cc1')
[0.4954099655151367] Updated in round 146! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2833333333333333, 'C1=C2C1=C2c1cc2ccc1-c1ccc-2cc1')
[0.49665236473083496] Updated in round 147! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.288135593220339, 'C=CC=C(C=CC=C1C=C1)c1ccccc1')
[0.5138556957244873] Updated in round 148! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2909090909090909, 'C#Cc1ccc(-c2cc3cc-3c2)cc1')
[0.5150275230407715] Updated in round 149! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2926829268292683, 'C=C1c2ccccc21')
[0.5162427425384521] Updated in round 150! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.2972972972972973, 'c1ccccc1')
[0.5174376964569092] Updated in round 151! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.30158730158730157, 'C=CC1=C2C1=C2c1cccc(-c2cc3ccc2-3)c1')
[0.5186636447906494] Updated in round 152! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.30158730158730157, 'C=CC1=C(c2cccc3c2-c2ccccc2-3)C1=C')
[0.5199451446533203] Updated in round 153! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C1=CC1=Cc1ccc2c(c1)-c1ccccc1-2')
[0.5316202640533447] Updated in round 154! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C=CC=Cc1cccc(-c2c3cccc2-3)c1')
[0.5335841178894043] Updated in round 155! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3050847457627119, 'C1=CC(c2cc3ccc2c2ccccc32)=C1')
[0.5457134246826172] Updated in round 156! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.30612244897959184, 'C=Cc1ccccc1C1=CC=C1')
[0.5642142295837402] Updated in round 157! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3103448275862069, 'C=Cc1ccccc1-c1ccc2c(c1)C2=C')
[0.5659201145172119] Updated in round 158! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3103448275862069, 'C=CC=C(C=CC1=CC=C1)c1ccccc1')
[0.567049503326416] Updated in round 159! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3111111111111111, 'C=CC#Cc1ccccc1')
[0.5683751106262207] Updated in round 160! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3148148148148148, 'C=Cc1cc2cc(c1)-c1ccc-2cc1')
[0.5701608657836914] Updated in round 161! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.31746031746031744, 'c1ccc2c(c1)ccc1cc(c1)c1cccc2c1')
[0.5896873474121094] Updated in round 162! max:(0.7837837837837838, 'c1ccc(-c2ccccc2)cc1'), min:(0.3181818181818182, 'C=CC1=C2C1=C2c1cccc(-c2ccc(C=C)cc2)c1')
