[7.939338684082031e-05]Start running EvoMol from [H][H]...
[0.002360105514526367] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.11515998840332031] Updated in round 40! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.1251065731048584] Updated in round 41! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.13189053535461426] Updated in round 42! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.13252925872802734] Updated in round 43! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.13312101364135742] Updated in round 44! max:(0.5, 'c1cccc2ccc=2cc1'), min:(-99999, '')
[0.14589953422546387] Updated in round 45! max:(0.5106382978723404, 'C=C1c2c1c1ccccccc2cc1'), min:(-99999, '')
[0.15754127502441406] Updated in round 46! max:(0.5106382978723404, 'C=C1c2c1c1ccccccc2cc1'), min:(-99999, '')
[0.15834808349609375] Updated in round 47! max:(0.5106382978723404, 'C=C1c2c1c1ccccccc2cc1'), min:(-99999, '')
[0.15917110443115234] Updated in round 48! max:(0.5106382978723404, 'C=C1c2c1c1ccccccc2cc1'), min:(-99999, '')
[0.1722261905670166] Updated in round 49! max:(0.5106382978723404, 'C=C1c2c1c1ccccccc2cc1'), min:(-99999, '')
[0.17318153381347656] Updated in round 50! max:(0.5319148936170213, 'c1ccc2ccc3cc2ccc3cc1'), min:(-99999, '')
[0.1871635913848877] Updated in round 51! max:(0.5319148936170213, 'c1ccc2ccc3cc2ccc3cc1'), min:(-99999, '')
[0.18808984756469727] Updated in round 52! max:(0.5319148936170213, 'c1ccc2ccc3cc2ccc3cc1'), min:(-99999, '')
[0.1889333724975586] Updated in round 53! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.20218157768249512] Updated in round 54! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.20288705825805664] Updated in round 55! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2035679817199707] Updated in round 56! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.20424365997314453] Updated in round 57! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2049086093902588] Updated in round 58! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.21966052055358887] Updated in round 59! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22043228149414062] Updated in round 60! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22120308876037598] Updated in round 61! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22201848030090332] Updated in round 62! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22278976440429688] Updated in round 63! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2235279083251953] Updated in round 64! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22426438331604004] Updated in round 65! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22499942779541016] Updated in round 66! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.22570466995239258] Updated in round 67! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24279046058654785] Updated in round 68! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24364018440246582] Updated in round 69! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24446606636047363] Updated in round 70! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.245283842086792] Updated in round 71! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24612832069396973] Updated in round 72! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24695467948913574] Updated in round 73! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24773812294006348] Updated in round 74! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24853229522705078] Updated in round 75! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.24934816360473633] Updated in round 76! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2501685619354248] Updated in round 77! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2509582042694092] Updated in round 78! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2640230655670166] Updated in round 79! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.2648794651031494] Updated in round 80! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.26571011543273926] Updated in round 81! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.26648378372192383] Updated in round 82! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
[0.26728153228759766] Updated in round 83! max:(0.7142857142857143, 'c1ccccc2ccccc2ccc1'), min:(-99999, '')
