[9.846687316894531e-05]Start running EvoMol from [H][H]...
[0.01783442497253418] Updated in round 1! max:(0.0, '[H][H]'), min:(-99999, '')
[0.22800278663635254] Updated in round 52! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.22897577285766602] Updated in round 53! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.24294638633728027] Updated in round 54! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.24406766891479492] Updated in round 55! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.24510669708251953] Updated in round 56! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2461256980895996] Updated in round 57! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2626831531524658] Updated in round 58! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2637815475463867] Updated in round 59! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2796483039855957] Updated in round 60! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2809295654296875] Updated in round 61! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.28212952613830566] Updated in round 62! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.28331780433654785] Updated in round 63! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.28454136848449707] Updated in round 64! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2857029438018799] Updated in round 65! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.2867894172668457] Updated in round 66! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3048207759857178] Updated in round 67! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.30603456497192383] Updated in round 68! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.30727148056030273] Updated in round 69! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3085300922393799] Updated in round 70! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.30982375144958496] Updated in round 71! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3270440101623535] Updated in round 72! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3280909061431885] Updated in round 73! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.32911133766174316] Updated in round 74! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.33011364936828613] Updated in round 75! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.33107995986938477] Updated in round 76! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.332075834274292] Updated in round 77! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3486638069152832] Updated in round 78! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3497927188873291] Updated in round 79! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.35083532333374023] Updated in round 80! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.3518521785736084] Updated in round 81! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.35289716720581055] Updated in round 82! max:(0.5454545454545454, 'c1cc2ccc3c(c1)c1cccc2c13'), min:(-99999, '')
[0.35394859313964844] Updated in round 83! max:(0.5652173913043478, 'c1ccc2c3cccc4ccc2c3c4cc1'), min:(-99999, '')
[0.3713846206665039] Updated in round 84! max:(0.5652173913043478, 'c1ccc2c3cccc4ccc2c3c4cc1'), min:(-99999, '')
[0.3724510669708252] Updated in round 85! max:(0.5652173913043478, 'c1ccc2c3cccc4ccc2c3c4cc1'), min:(-99999, '')
