[0.011936664581298828]Start running EvoMol from [H][H]...
[0.017746925354003906] Updated in round 1! max:(0.17857142857142858, 'c1ccccc1'), min:(-99999, '')
[0.5025920867919922] Updated in round 107! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.23376623376623376, 'C=c1c2cc3cc1c2c1c2ccccc2c31')
[0.5038473606109619] Updated in round 108! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.23376623376623376, 'C=Cc1ccc2cc1c1cc3cc2ccc3-1')
[0.505126953125] Updated in round 109! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.23943661971830985, 'C=CC=C(C1=CC=C1)c1ccccc1')
[0.5064103603363037] Updated in round 110! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.24675324675324675, 'c1cc2c3ccc4cc5cc(c1-5)c2cc4c3')
[0.5075862407684326] Updated in round 111! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.25, 'C#Cc1c2cccc1c1ccc3cc2-c3c1')
[0.5089201927185059] Updated in round 112! max:(0.6142857142857143, 'C=C1C=CC2=CC=Cc3ccccc3C2=c2ccccc2=C1'), min:(0.2535211267605634, 'C=c1c2ccc3c4cccc(c4)c-2c13')
[0.5101237297058105] Updated in round 113! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.25675675675675674, 'C=CC=C1C(=C)C=C1c1ccccc1C=C')
[0.5532238483428955] Updated in round 114! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.2608695652173913, 'C=CC1=CC(C=c2ccccc2=C)=C1')
[0.5546000003814697] Updated in round 115! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.2631578947368421, 'c1ccc2c(c1)cc1cc3c1cc1cc3c12')
[0.5558819770812988] Updated in round 116! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.26666666666666666, 'C#Cc1cccc2c3cccc4c3C=c4c12')
[0.5571560859680176] Updated in round 117! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.2676056338028169, 'c1cc2ccc1c1cc3ccc2cc3-1')
[0.5590031147003174] Updated in round 118! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.2702702702702703, 'C#CC(C=CC=C)=CC1=Cc2ccccc21')
[0.5608603954315186] Updated in round 119! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.273972602739726, 'C#CC(=CC=C)C(=C)C1=Cc2ccccc21')
[0.5622372627258301] Updated in round 120! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.27941176470588236, 'C#Cc1ccccc1C1=CC(=C)C1=C')
[0.5635898113250732] Updated in round 121! max:(0.6164383561643836, 'C=CC1=Cc2ccccc2C2=c3ccccc3=CC(=C)C=CC2=C1'), min:(0.2808988764044944, 'c1ccc2c(c1)cc1ccc3cccc4cc(ccc4c32)c1')
[0.5648486614227295] Updated in round 122! max:(0.6301369863013698, 'C=C1C=C2C=CC3=CC1=Cc1ccccc1C3=c1ccccc1=C2'), min:(0.28378378378378377, 'C=c1ccccc1=CC1=Cc2c1cc1cc2-1')
[0.6117172241210938] Updated in round 123! max:(0.6301369863013698, 'C=C1C=C2C=CC3=CC1=Cc1ccccc1C3=c1ccccc1=C2'), min:(0.2840909090909091, 'C=c1cc2ccc3cc2c2c4ccccc4cccc2c3c1')
[0.6132428646087646] Updated in round 124! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.2857142857142857, 'c1cc2cc(c1)c1cc3cccc2c31')
[0.6620736122131348] Updated in round 125! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.2898550724637681, 'C=C1c2c3cc-3c1c2-c1ccccc1')
[0.6635518074035645] Updated in round 126! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.2916666666666667, 'C=CC=CC1=CC(c2ccccc2C=C)=C1')
[0.6658544540405273] Updated in round 127! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.29411764705882354, 'C=CC=CC(=C)C1=Cc2ccccc21')
[0.6676483154296875] Updated in round 128! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.2972972972972973, 'C1=c2cc3cccc4c3=c4c3cccc2c31')
[0.6690964698791504] Updated in round 129! max:(0.631578947368421, 'C#CC1=CC2=CC3=Cc4ccccc4C2=c2ccccc2=CC1=CC3=C'), min:(0.2988505747126437, 'C=c1ccc2ccc3c4cccc(c4-3)c2c2ccccc2c1')
