rediscovery_c1ccc(-c2ccccc2)cc1_mean,rediscovery_c1ccc(-c2ccccc2)cc1_med,rediscovery_c1ccc(-c2ccccc2)cc1_min,rediscovery_c1ccc(-c2ccccc2)cc1_max,rediscovery_c1ccc(-c2ccccc2)cc1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.06592727904427495,0.07017543859649122,0.0,0.35,0.043789653852372795,0.06592727904427495,0.07017543859649122,0.0,0.35,0.043789653852372795,509,10,0.9403319358825684,0,0,9,0,0,0,0,0
0.06585190736430613,0.07017543859649122,0.0,0.35,0.044062894370200556,0.06585190736430613,0.07017543859649122,0.0,0.35,0.044062894370200556,519,10,0.9702813625335693,0,0,34,0,0,0,0,0
0.06643517063388177,0.07017543859649122,0.0,0.35,0.04422306433616209,0.06643517063388177,0.07017543859649122,0.0,0.35,0.04422306433616209,529,10,0.9890506267547607,0,0,9,0,0,0,0,0
0.06727759012509603,0.07080200501253132,0.0,0.35,0.04631322822696041,0.06727759012509603,0.07080200501253132,0.0,0.35,0.04631322822696041,539,10,1.0101847648620605,0,0,14,0,0,0,0,0
0.06817894570763684,0.07142857142857142,0.0,0.35,0.047446017434494094,0.06817894570763684,0.07142857142857142,0.0,0.35,0.047446017434494094,549,10,1.0394110679626465,0,0,23,0,0,0,0,0
0.06879925752376195,0.07142857142857142,0.0,0.35,0.04822308238769256,0.06879925752376195,0.07142857142857142,0.0,0.35,0.04822308238769256,559,10,1.0640778541564941,0,0,11,0,0,0,0,0
0.0698624806002958,0.07142857142857142,0.0,0.35,0.04946245019318062,0.0698624806002958,0.07142857142857142,0.0,0.35,0.04946245019318062,569,10,1.0847337245941162,0,0,9,0,0,0,0,0
0.06994353383416982,0.07142857142857142,0.0,0.35,0.0497001829200054,0.06994353383416982,0.07142857142857142,0.0,0.35,0.0497001829200054,579,10,1.111717700958252,0,0,17,0,0,0,0,0
0.07047426772141116,0.07142857142857142,0.0,0.35,0.050978425453105804,0.07047426772141116,0.07142857142857142,0.0,0.35,0.050978425453105804,589,10,1.1375107765197754,0,0,18,0,0,0,0,0
0.07105102951662197,0.07142857142857142,0.0,0.35,0.051641894372336274,0.07105102951662197,0.07142857142857142,0.0,0.35,0.051641894372336274,599,10,1.167597770690918,0,0,26,0,0,0,0,0
0.07069542182802332,0.07142857142857142,0.0,0.35,0.05160049138257795,0.07069542182802332,0.07142857142857142,0.0,0.35,0.05160049138257795,609,10,1.1941158771514893,0,0,18,0,0,0,0,0
