smiles,n_success_mut,n_failures_mut,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,total,obj_computation_time,history_data
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(=CC)CC,0,0,0.6,0.6,0.0003821849822998047,
C=CCC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)C,0,0,0.6136363636363636,0.6136363636363636,0.00042939186096191406,
C=CC=CC=CC=CC=CC=CC(C=CC=C)CC=CC=CC=C,0,0,0.5617977528089888,0.5617977528089888,0.0003986358642578125,
C=CC(C=C)=CC=CC=CC=CC=CC=CC=CC=CC=CCC(C)C,0,0,0.5483870967741935,0.5483870967741935,0.00044846534729003906,
CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC,0,0,0.6436781609195402,0.6436781609195402,0.0004258155822753906,
C=CCCCC=CC=CC=CC=CC=CC=CC=CC=CC=CCC,0,0,0.5543478260869565,0.5543478260869565,0.0004267692565917969,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C=C)CC,1,0,0.6746987951807228,0.6746987951807228,0.00040650367736816406,
C=CC=CC=CC=CC=CC=CCC=CCCC=CC=CC=CC=C,0,0,0.6067415730337079,0.6067415730337079,0.0004115104675292969,
C=CC=CC=CC=CC=CCC=CC=CC=CC=CC=CC(C=C)CC,0,0,0.5760869565217391,0.5760869565217391,0.000446319580078125,
C=CC=CC=CC=CC=CC#CC(C)C=CC=CC=CC=CC=C,0,0,0.5977011494252874,0.5977011494252874,0.00041413307189941406,
C=CC=CC=CC=CC=CC=CC=C(C)CC=CC=CC=C,0,0,0.5833333333333334,0.5833333333333334,0.00035381317138671875,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC(C)(C)C,0,0,0.5730337078651685,0.5730337078651685,0.00042891502380371094,
C=CC=CC(C)=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5465116279069767,0.5465116279069767,0.0003581047058105469,
C=CC=CC=CC=CC=CC(C=C)=CC=CC=CC=CC=CCC,0,0,0.5617977528089888,0.5617977528089888,0.0003895759582519531,
C=CC=CC=CC=CC=CCC(C)C=CC=CC=CC=CC=C,0,0,0.6190476190476191,0.6190476190476191,0.00038695335388183594,
C#CC=CC=C=CC=CC=CC=CC=CC=CC=CC=CC=C,0,0,0.5930232558139535,0.5930232558139535,0.0003867149353027344,
C=CC=CC=CC=CC=CC=CC=CC=CC(C)=CC=C,0,0,0.6049382716049383,0.6049382716049383,0.0003464221954345703,
