step,error
78,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
78,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
78,C1=C2C=C1C1=C3CC1=C3C2 (Mutation error)
78,C1=C2C=C1C1=C3C=C1C3C2 (Mutation error)
79,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
79,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
79,C1=C2C=C1C1C3=C4C2=C3C41 (Mutation error)
79,CC1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
79,C1=C2C=C1C1=C3C=C1C3C2 (Mutation error)
80,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
80,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
80,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
80,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
80,C1=C2C=C1C1=C3CC1=C3C2 (Mutation error)
80,C1=C2C=C1C1=C3C=C1C3C2 (Mutation error)
81,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
82,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
82,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
82,CCC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
82,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
82,CC12C=CC3(C1)C1=CC3=C1C1=CC2=C1 (Mutation error)
83,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
83,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
83,CC1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
83,CCC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
84,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
84,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
84,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
84,CCC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
84,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
85,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
85,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
85,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
85,CC1=C2C3=C1C21C=CC(C1)C1=CC3=C1 (Mutation error)
86,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
86,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
86,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
86,C1=C2C=C1C1C3=C4C2=C3C41 (Mutation error)
86,CC12C=CC3(C1)C1=CC3=C1C1=CC2=C1 (Mutation error)
87,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
87,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
87,CC1=C2C3=C1C2C=CC(C)C1=CC3=C1 (Mutation error)
87,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
87,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
87,CC1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
88,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
88,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
88,C1=C2C=C1C1C3=C4C2=C3C41 (Mutation error)
89,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
89,CC1=C2C3=C1C2C=CC(C)C1=CC3=C1 (Mutation error)
89,CC12C3=CC(=C3)C3=C1C=C32 (Mutation error)
90,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
90,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
90,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
90,CC1=C2C3=C1C2C1=CC3=C1 (Mutation error)
90,CC12C=CC3(C1)C1=CC3=C1C1=CC2=C1 (Mutation error)
