rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_mean,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_med,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_min,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_max,rediscovery_C=CC(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C(=C)C=C_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.06300668690222783,0.057971014492753624,0.0,0.18461538461538463,0.04149297995469373,0.06300668690222783,0.057971014492753624,0.0,0.18461538461538463,0.04149297995469373,600,10,1.3275935649871826,0,0,13,0,0,0,0,0
0.06279922064012151,0.05747126436781609,0.0,0.18461538461538463,0.04134849687615648,0.06279922064012151,0.05747126436781609,0.0,0.18461538461538463,0.04134849687615648,610,10,1.3547472953796387,0,0,20,0,0,0,0,0
0.06285304111474464,0.057971014492753624,0.0,0.18461538461538463,0.04121564959367487,0.06285304111474464,0.057971014492753624,0.0,0.18461538461538463,0.04121564959367487,620,10,1.3762307167053223,0,0,4,0,0,0,0,0
0.06303905340018193,0.05952380952380952,0.0,0.18461538461538463,0.04111163378582518,0.06303905340018193,0.05952380952380952,0.0,0.18461538461538463,0.04111163378582518,630,10,1.3983848094940186,0,0,14,0,0,0,0,0
0.06321197985668055,0.05952380952380952,0.0,0.18461538461538463,0.041395008324898716,0.06321197985668055,0.05952380952380952,0.0,0.18461538461538463,0.041395008324898716,640,10,1.4226562976837158,0,0,11,0,0,0,0,0
0.06347446124067269,0.060240963855421686,0.0,0.18461538461538463,0.04148682919939155,0.06347446124067269,0.060240963855421686,0.0,0.18461538461538463,0.04148682919939155,650,10,1.450075387954712,0,0,23,0,0,0,0,0
0.06360872885010557,0.060240963855421686,0.0,0.18461538461538463,0.04152311481984968,0.06360872885010557,0.060240963855421686,0.0,0.18461538461538463,0.04152311481984968,660,10,1.4745187759399414,0,0,8,0,0,0,0,0
0.06377044736906601,0.060240963855421686,0.0,0.18461538461538463,0.04160774887634924,0.06377044736906601,0.060240963855421686,0.0,0.18461538461538463,0.04160774887634924,670,10,1.4958741664886475,0,0,9,0,0,0,0,0
0.06384360395433553,0.06172839506172839,0.0,0.18461538461538463,0.04141001093905335,0.06384360395433553,0.06172839506172839,0.0,0.18461538461538463,0.04141001093905335,680,10,1.5153303146362305,0,0,2,0,0,0,0,0
0.0642131132954273,0.06172839506172839,0.0,0.18461538461538463,0.04135704015152576,0.0642131132954273,0.06172839506172839,0.0,0.18461538461538463,0.04135704015152576,690,10,1.5404541492462158,0,0,8,0,0,0,0,0
0.06438682552049338,0.06172839506172839,0.0,0.18461538461538463,0.04143602866144493,0.06438682552049338,0.06172839506172839,0.0,0.18461538461538463,0.04143602866144493,700,10,1.5678074359893799,0,0,13,0,0,0,0,0
0.06443645946555429,0.06172839506172839,0.0,0.18461538461538463,0.04162944377393925,0.06443645946555429,0.06172839506172839,0.0,0.18461538461538463,0.04162944377393925,710,10,1.597249984741211,0,0,24,0,0,0,0,0
0.06489688607976593,0.0625,0.0,0.18461538461538463,0.042047607990434076,0.06489688607976593,0.0625,0.0,0.18461538461538463,0.042047607990434076,720,10,1.6246328353881836,0,0,13,0,0,0,0,0
