smiles,n_success_mut,n_failures_mut,rediscovery_C(=Cc1ccccc1)c1ccccc1,total,obj_computation_time,history_data
CC1=CC=CC1=Cc1ccccc1,0,0,0.3793103448275862,0.3793103448275862,0.00022864341735839844,
C1=CC2=CC(C=C2C=Cc2ccccc2)C1,0,0,0.45161290322580644,0.45161290322580644,0.00031447410583496094,
C1=CC2=CCC(C1)C(C=Cc1ccccc1)=C2,0,0,0.4307692307692308,0.4307692307692308,0.0003561973571777344,
C=CC(C)=CC=Cc1ccccc1,0,0,0.3620689655172414,0.3620689655172414,0.00021028518676757812,
C1=CC2(C=C2)CC(C=Cc2ccccc2)=CC1,1,0,0.4603174603174603,0.4603174603174603,0.0003342628479003906,
CCCCC1=CC(C=Cc2ccccc2)=C1,0,0,0.41935483870967744,0.41935483870967744,0.0002796649932861328,
CC1=CC(C(C)C=Cc2ccccc2)=C1,2,0,0.4,0.4,0.00026679039001464844,
CC1=CC=C(C=Cc2ccccc2)CC1,0,0,0.43333333333333335,0.43333333333333335,0.0002617835998535156,
C(=Cc1ccccc1)C1=C2C3=C1C23,0,0,0.43636363636363634,0.43636363636363634,0.00027680397033691406,
C=C(C=Cc1ccccc1)CC1C=C1,0,0,0.3898305084745763,0.3898305084745763,0.0002536773681640625,
CC1=C=CC1C=Cc1ccccc1,0,0,0.40350877192982454,0.40350877192982454,0.0002276897430419922,
C1=CCCC(CC=Cc2ccccc2)=C1,0,0,0.4032258064516129,0.4032258064516129,0.0002644062042236328,
CC(C)CC=Cc1ccccc1,5,2,0.38181818181818183,0.38181818181818183,0.00019407272338867188,
CC1=CC(C)(C)C(C=Cc2ccccc2)=C1,0,0,0.4262295081967213,0.4262295081967213,0.00028204917907714844,
C1=CCC(C=Cc2ccccc2)=CCCC1,0,0,0.42857142857142855,0.42857142857142855,0.0002884864807128906,
C1=CCC(=CC=Cc2ccccc2)C=C1,0,0,0.4262295081967213,0.4262295081967213,0.00026297569274902344,
C1=CCCCCC(C=Cc2ccccc2)=C1,0,0,0.42857142857142855,0.42857142857142855,0.0002884864807128906,
CC12C3=CC1C(C=Cc1ccccc1)=C32,0,0,0.4098360655737705,0.4098360655737705,0.0002944469451904297,
CC(C=Cc1ccccc1)=C1C=CC1,0,0,0.41379310344827586,0.41379310344827586,0.0002548694610595703,
