rediscovery_c1ccc2ccccc2c1_mean,rediscovery_c1ccc2ccccc2c1_med,rediscovery_c1ccc2ccccc2c1_min,rediscovery_c1ccc2ccccc2c1_max,rediscovery_c1ccc2ccccc2c1_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.06810002376606042,0.0784313725490196,0.0,0.2702702702702703,0.0413265954585799,0.06810002376606042,0.0784313725490196,0.0,0.2702702702702703,0.0413265954585799,499,10,0.9160017967224121,0,0,15,0,0,0,0,0
0.06886827337236828,0.0784313725490196,0.0,0.2702702702702703,0.04183953379222522,0.06886827337236828,0.0784313725490196,0.0,0.2702702702702703,0.04183953379222522,509,10,0.9427335262298584,0,0,19,0,0,0,0,0
0.06942643580767917,0.0784313725490196,0.0,0.2702702702702703,0.0418683175266773,0.06942643580767917,0.0784313725490196,0.0,0.2702702702702703,0.0418683175266773,519,10,0.9637539386749268,0,0,7,0,0,0,0,0
0.06986774060419185,0.07868937048503612,0.0,0.2702702702702703,0.04187567399313553,0.06986774060419185,0.07868937048503612,0.0,0.2702702702702703,0.04187567399313553,529,10,0.9903013706207275,0,0,9,0,0,0,0,0
0.07006778075402154,0.07947368421052631,0.0,0.2702702702702703,0.04192305419340852,0.07006778075402154,0.07947368421052631,0.0,0.2702702702702703,0.04192305419340852,539,10,1.0123088359832764,0,0,8,0,0,0,0,0
0.07063194100394578,0.08,0.0,0.2702702702702703,0.041867165176083423,0.07063194100394578,0.08,0.0,0.2702702702702703,0.041867165176083423,549,10,1.0290255546569824,0,0,4,0,0,0,0,0
0.07081808009846678,0.08,0.0,0.2702702702702703,0.04191103771618223,0.07081808009846678,0.08,0.0,0.2702702702702703,0.04191103771618223,559,10,1.0540614128112793,0,0,19,0,0,0,0,0
0.07096604010918782,0.08,0.0,0.2702702702702703,0.04164936142762702,0.07096604010918782,0.08,0.0,0.2702702702702703,0.04164936142762702,569,10,1.0789661407470703,0,0,11,0,0,0,0,0
0.07185846658713842,0.08,0.0,0.2702702702702703,0.04281332973287297,0.07185846658713842,0.08,0.0,0.2702702702702703,0.04281332973287297,579,10,1.0993108749389648,0,0,8,0,0,0,0,0
0.0724588089077879,0.08163265306122448,0.0,0.35135135135135137,0.04435654649777095,0.0724588089077879,0.08163265306122448,0.0,0.35135135135135137,0.04435654649777095,589,10,1.1279280185699463,0,0,24,0,0,0,0,0
