rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_mean,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_med,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_min,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_max,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.016288215600763777,0.023809523809523808,0.0,0.06153846153846154,0.01534543329839847,0.016288215600763777,0.023809523809523808,0.0,0.06153846153846154,0.01534543329839847,140,10,0.26768946647644043,0,0,57,0,0,0,0,0
0.017132629608563644,0.025,0.0,0.06153846153846154,0.015677471280896933,0.017132629608563644,0.025,0.0,0.06153846153846154,0.015677471280896933,150,10,0.2886373996734619,0,0,28,0,0,0,0,0
0.018305755931713966,0.025974025974025976,0.0,0.06153846153846154,0.016331121802425005,0.018305755931713966,0.025974025974025976,0.0,0.06153846153846154,0.016331121802425005,160,10,0.30527400970458984,0,0,13,0,0,0,0,0
0.018787762124931454,0.02631578947368421,0.0,0.06153846153846154,0.016531151046874182,0.018787762124931454,0.02631578947368421,0.0,0.06153846153846154,0.016531151046874182,170,10,0.3189971446990967,0,0,5,0,0,0,0,0
0.02010820268600792,0.02666666666666667,0.0,0.06153846153846154,0.01739735121801494,0.02010820268600792,0.02666666666666667,0.0,0.06153846153846154,0.01739735121801494,180,10,0.3387753963470459,0,0,24,0,0,0,0,0
0.021382465857383737,0.02666666666666667,0.0,0.06153846153846154,0.018158616266823586,0.021382465857383737,0.02666666666666667,0.0,0.06153846153846154,0.018158616266823586,190,10,0.3567230701446533,0,0,12,0,0,0,0,0
0.022676631082062842,0.02702702702702703,0.0,0.06153846153846154,0.018763910350486877,0.022676631082062842,0.02702702702702703,0.0,0.06153846153846154,0.018763910350486877,200,10,0.38333940505981445,0,0,40,0,0,0,0,0
0.023881072920893493,0.02702702702702703,0.0,0.06944444444444445,0.01930036455861948,0.023881072920893493,0.02702702702702703,0.0,0.06944444444444445,0.01930036455861948,210,10,0.4043099880218506,0,0,23,0,0,0,0,0
0.024980985124747394,0.02702702702702703,0.0,0.08450704225352113,0.019941912254298613,0.024980985124747394,0.02702702702702703,0.0,0.08450704225352113,0.019941912254298613,220,10,0.43173861503601074,0,0,33,0,0,0,0,0
0.026020573879989874,0.0273972602739726,0.0,0.08450704225352113,0.020404721878664853,0.026020573879989874,0.0273972602739726,0.0,0.08450704225352113,0.020404721878664853,230,10,0.45026159286499023,0,0,17,0,0,0,0,0
0.027695912060496514,0.0273972602739726,0.0,0.14925373134328357,0.022274506073173713,0.027695912060496514,0.0273972602739726,0.0,0.14925373134328357,0.022274506073173713,240,10,0.47656869888305664,0,0,33,0,0,0,0,0
0.02810276754545181,0.0273972602739726,0.0,0.14925373134328357,0.02217238041330789,0.02810276754545181,0.0273972602739726,0.0,0.14925373134328357,0.02217238041330789,250,10,0.49411678314208984,0,0,13,0,0,0,0,0
0.028980730194525333,0.0273972602739726,0.0,0.14925373134328357,0.023171822725311726,0.028980730194525333,0.0273972602739726,0.0,0.14925373134328357,0.023171822725311726,260,10,0.53411865234375,0,0,60,0,0,0,0,0
0.030415429360303184,0.027777777777777776,0.0,0.14925373134328357,0.024176844003997562,0.030415429360303184,0.027777777777777776,0.0,0.14925373134328357,0.024176844003997562,270,10,0.5577170848846436,0,0,21,0,0,0,0,0
0.030955451501885,0.027777777777777776,0.0,0.14925373134328357,0.024267076306229304,0.030955451501885,0.027777777777777776,0.0,0.14925373134328357,0.024267076306229304,280,10,0.5772361755371094,0,0,13,0,0,0,0,0
0.031323044965752604,0.028169014084507043,0.0,0.14925373134328357,0.02427969522499263,0.031323044965752604,0.028169014084507043,0.0,0.14925373134328357,0.02427969522499263,290,10,0.5951976776123047,0,0,5,0,0,0,0,0
0.03198075028474233,0.028169014084507043,0.0,0.14925373134328357,0.02449306886678082,0.03198075028474233,0.028169014084507043,0.0,0.14925373134328357,0.02449306886678082,300,10,0.6116147041320801,0,0,7,0,0,0,0,0
0.03320902257206237,0.02857142857142857,0.0,0.16417910447761194,0.02582812291611056,0.03320902257206237,0.02857142857142857,0.0,0.16417910447761194,0.02582812291611056,310,10,0.6318709850311279,0,0,13,0,0,0,0,0
0.03395487323589824,0.02857142857142857,0.0,0.16417910447761194,0.02615451415149956,0.03395487323589824,0.02857142857142857,0.0,0.16417910447761194,0.02615451415149956,320,10,0.6476449966430664,0,0,5,0,0,0,0,0
0.035001979584621416,0.028985507246376812,0.0,0.16417910447761194,0.026918005057395587,0.035001979584621416,0.028985507246376812,0.0,0.16417910447761194,0.026918005057395587,330,10,0.6650912761688232,0,0,9,0,0,0,0,0
0.03586064610339558,0.028985507246376812,0.0,0.16417910447761194,0.027142072615349202,0.03586064610339558,0.028985507246376812,0.0,0.16417910447761194,0.027142072615349202,340,10,0.6899998188018799,0,0,13,0,0,0,0,0
0.03664038049040813,0.029850746268656716,0.0,0.16417910447761194,0.027221701234517597,0.03664038049040813,0.029850746268656716,0.0,0.16417910447761194,0.027221701234517597,350,10,0.7029850482940674,0,0,3,0,0,0,0,0
0.03768242305531261,0.03076923076923077,0.0,0.16417910447761194,0.028092753636461867,0.03768242305531261,0.03076923076923077,0.0,0.16417910447761194,0.028092753636461867,360,10,0.7228596210479736,0,0,10,0,0,0,0,0
0.0386188266933675,0.0379746835443038,0.0,0.16417910447761194,0.029166286647466805,0.0386188266933675,0.0379746835443038,0.0,0.16417910447761194,0.029166286647466805,370,10,0.7473165988922119,0,0,14,0,0,0,0,0
0.03944500790793699,0.038461538461538464,0.0,0.16417910447761194,0.02993171200240969,0.03944500790793699,0.038461538461538464,0.0,0.16417910447761194,0.02993171200240969,380,10,0.7807002067565918,0,0,28,0,0,0,0,0
0.0404352036034049,0.039473684210526314,0.0,0.16417910447761194,0.030991775293435685,0.0404352036034049,0.039473684210526314,0.0,0.16417910447761194,0.030991775293435685,390,10,0.8144400119781494,0,0,33,0,0,0,0,0
0.04175972701039991,0.04,0.0,0.16417910447761194,0.03221210269021382,0.04175972701039991,0.04,0.0,0.16417910447761194,0.03221210269021382,400,10,0.8423194885253906,0,0,15,0,0,0,0,0
0.04299413846988473,0.04,0.0,0.16417910447761194,0.03322206784332206,0.04299413846988473,0.04,0.0,0.16417910447761194,0.03322206784332206,410,10,0.8686442375183105,0,0,5,0,0,0,0,0
0.044955326317904803,0.0410958904109589,0.0,0.16417910447761194,0.03531441987077015,0.044955326317904803,0.0410958904109589,0.0,0.16417910447761194,0.03531441987077015,420,10,0.899993896484375,0,0,18,0,0,0,0,0
0.04680939991739882,0.041666666666666664,0.0,0.2028985507246377,0.03743409190943453,0.04680939991739882,0.041666666666666664,0.0,0.2028985507246377,0.03743409190943453,430,10,0.9264249801635742,0,0,8,0,0,0,0,0
0.04798102174595826,0.04285714285714286,0.0,0.2028985507246377,0.03848761141580424,0.04798102174595826,0.04285714285714286,0.0,0.2028985507246377,0.03848761141580424,440,10,0.9521667957305908,0,0,8,0,0,0,0,0
0.049076317519014735,0.047619047619047616,0.0,0.2028985507246377,0.039019230987095886,0.049076317519014735,0.047619047619047616,0.0,0.2028985507246377,0.039019230987095886,450,10,0.9795222282409668,0,0,10,0,0,0,0,0
0.050177167118081165,0.04938271604938271,0.0,0.2028985507246377,0.03964049366776697,0.050177167118081165,0.04938271604938271,0.0,0.2028985507246377,0.03964049366776697,460,10,1.0014970302581787,0,0,2,0,0,0,0,0
0.05146420758048038,0.05,0.0,0.2028985507246377,0.04053833412554428,0.05146420758048038,0.05,0.0,0.2028985507246377,0.04053833412554428,470,10,1.0283303260803223,0,0,6,0,0,0,0,0
