rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_mean,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_med,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_min,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_max,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.46845664043876534,0.45624316299421785,0.41975308641975306,0.7272727272727273,0.04262473785164423,0.46845664043876534,0.45624316299421785,0.41975308641975306,0.7272727272727273,0.04262473785164423,23112,10,69.00260281562805,0,36,15,0,0,0,0,0
0.4688799260646932,0.4567901234567901,0.41975308641975306,0.7272727272727273,0.04248134661190191,0.4688799260646932,0.4567901234567901,0.41975308641975306,0.7272727272727273,0.04248134661190191,23238,10,69.43066835403442,0,116,27,0,0,0,0,0
0.4692001929873484,0.4567901234567901,0.42105263157894735,0.7272727272727273,0.04236974805007466,0.4692001929873484,0.4567901234567901,0.42105263157894735,0.7272727272727273,0.04236974805007466,23331,10,69.73995566368103,0,83,28,0,0,0,0,0
0.4696641301484082,0.4567901234567901,0.42168674698795183,0.7272727272727273,0.04238038874812371,0.4696641301484082,0.4567901234567901,0.42168674698795183,0.7272727272727273,0.04238038874812371,23410,10,69.98926448822021,0,69,21,0,0,0,0,0
0.4702063885540491,0.4567901234567901,0.42168674698795183,0.7272727272727273,0.042350494508314004,0.4702063885540491,0.4567901234567901,0.42168674698795183,0.7272727272727273,0.042350494508314004,23485,10,70.23546290397644,0,65,12,0,0,0,0,0
0.4708110060925815,0.45748709122203096,0.4230769230769231,0.7272727272727273,0.042319460596848074,0.4708110060925815,0.45748709122203096,0.4230769230769231,0.7272727272727273,0.042319460596848074,23601,10,70.65603685379028,0,106,36,0,0,0,0,0
0.47129118965860817,0.4578313253012048,0.4235294117647059,0.7272727272727273,0.042172744436963165,0.47129118965860817,0.4578313253012048,0.4235294117647059,0.7272727272727273,0.042172744436963165,23682,10,70.92293429374695,0,71,19,0,0,0,0,0
0.472060071451896,0.4594594594594595,0.425,0.7272727272727273,0.04227978166277551,0.472060071451896,0.4594594594594595,0.425,0.7272727272727273,0.04227978166277551,23769,10,71.23672342300415,0,77,22,0,0,0,0,0
0.4727652346569332,0.4605263157894737,0.425,0.7272727272727273,0.04234236272666873,0.4727652346569332,0.4605263157894737,0.425,0.7272727272727273,0.04234236272666873,23870,10,71.58959126472473,0,91,22,0,0,0,0,0
0.4732315843430796,0.46153846153846156,0.425,0.7272727272727273,0.04223151117024388,0.4732315843430796,0.46153846153846156,0.425,0.7272727272727273,0.04223151117024388,23923,10,71.78916525840759,0,43,24,0,0,0,0,0
0.4741481259321488,0.46153846153846156,0.425,0.7272727272727273,0.04253952580263836,0.4741481259321488,0.46153846153846156,0.425,0.7272727272727273,0.04253952580263836,24031,10,72.14526581764221,0,98,28,0,0,0,0,0
0.47486196574254175,0.46153846153846156,0.4268292682926829,0.7272727272727273,0.04261778551742527,0.47486196574254175,0.46153846153846156,0.4268292682926829,0.7272727272727273,0.04261778551742527,24106,10,72.40313291549683,0,65,27,0,0,0,0,0
0.47540190820296,0.46153846153846156,0.4268292682926829,0.7272727272727273,0.04257412443409432,0.47540190820296,0.46153846153846156,0.4268292682926829,0.7272727272727273,0.04257412443409432,24223,10,72.78918409347534,0,107,22,0,0,0,0,0
0.47607625884036125,0.4625,0.4268292682926829,0.7272727272727273,0.04277254315620525,0.47607625884036125,0.4625,0.4268292682926829,0.7272727272727273,0.04277254315620525,24318,10,73.10117816925049,0,85,28,0,0,0,0,0
0.476558210739708,0.4625,0.42857142857142855,0.7272727272727273,0.042689484886486155,0.476558210739708,0.4625,0.42857142857142855,0.7272727272727273,0.042689484886486155,24428,10,73.45937585830688,0,100,29,0,0,0,0,0
0.4770145276659795,0.4625,0.42857142857142855,0.7272727272727273,0.04263704589598204,0.4770145276659795,0.4625,0.42857142857142855,0.7272727272727273,0.04263704589598204,24544,10,73.89014267921448,0,106,38,0,0,0,0,0
0.47741786332188635,0.4634146341463415,0.43037974683544306,0.7272727272727273,0.04252402232213314,0.47741786332188635,0.4634146341463415,0.43037974683544306,0.7272727272727273,0.04252402232213314,24647,10,74.24984240531921,0,93,34,0,0,0,0,0
0.4781337052818143,0.4634146341463415,0.43037974683544306,0.7272727272727273,0.04303665822228835,0.4781337052818143,0.4634146341463415,0.43037974683544306,0.7272727272727273,0.04303665822228835,24778,10,74.68233275413513,0,121,40,0,0,0,0,0
0.4786346040035455,0.4657534246575342,0.43209876543209874,0.7272727272727273,0.04294177313588865,0.4786346040035455,0.4657534246575342,0.43209876543209874,0.7272727272727273,0.04294177313588865,24898,10,75.09140419960022,0,110,29,0,0,0,0,0
0.47920222904531157,0.4666666666666667,0.43209876543209874,0.7272727272727273,0.04302669577345665,0.47920222904531157,0.4666666666666667,0.43209876543209874,0.7272727272727273,0.04302669577345665,25011,10,75.46409368515015,0,103,33,0,0,0,0,0
0.4797106525385446,0.4670995670995671,0.43209876543209874,0.7272727272727273,0.0428782610939967,0.4797106525385446,0.4670995670995671,0.43209876543209874,0.7272727272727273,0.0428782610939967,25100,10,75.76905870437622,0,79,15,0,0,0,0,0
0.4802369887231849,0.4675324675324675,0.43209876543209874,0.7272727272727273,0.04272241648092226,0.4802369887231849,0.4675324675324675,0.43209876543209874,0.7272727272727273,0.04272241648092226,25209,10,76.11328387260437,0,99,26,0,0,0,0,0
0.4805954594697524,0.4675324675324675,0.43209876543209874,0.7272727272727273,0.04267297579455869,0.4805954594697524,0.4675324675324675,0.43209876543209874,0.7272727272727273,0.04267297579455869,25338,10,76.52580976486206,0,119,27,0,0,0,0,0
0.48104813054124584,0.46835443037974683,0.43209876543209874,0.7272727272727273,0.04260404503353623,0.48104813054124584,0.46835443037974683,0.43209876543209874,0.7272727272727273,0.04260404503353623,25414,10,76.80098247528076,0,66,33,0,0,0,0,0
0.4816106204971743,0.46835443037974683,0.43373493975903615,0.7272727272727273,0.04249229068739658,0.4816106204971743,0.46835443037974683,0.43373493975903615,0.7272727272727273,0.04249229068739658,25531,10,77.19183278083801,0,107,30,0,0,0,0,0
0.48205896723183933,0.46835443037974683,0.43373493975903615,0.7272727272727273,0.042357700519976865,0.48205896723183933,0.46835443037974683,0.43373493975903615,0.7272727272727273,0.042357700519976865,25652,10,77.59124493598938,0,111,34,0,0,0,0,0
0.48258765663167863,0.46835443037974683,0.43529411764705883,0.7272727272727273,0.04222621074063749,0.48258765663167863,0.46835443037974683,0.43529411764705883,0.7272727272727273,0.04222621074063749,25774,10,78.00178647041321,0,112,24,0,0,0,0,0
0.48333787678732254,0.4691358024691358,0.4358974358974359,0.7272727272727273,0.04232052266301359,0.48333787678732254,0.4691358024691358,0.4358974358974359,0.7272727272727273,0.04232052266301359,25921,10,78.52190327644348,0,137,49,0,0,0,0,0
0.48373278040687445,0.4691358024691358,0.4358974358974359,0.7272727272727273,0.04214534222928828,0.48373278040687445,0.4691358024691358,0.4358974358974359,0.7272727272727273,0.04214534222928828,26044,10,78.93588638305664,0,113,36,0,0,0,0,0
0.4842691371817362,0.4691358024691358,0.43661971830985913,0.7272727272727273,0.04202090233982616,0.4842691371817362,0.4691358024691358,0.43661971830985913,0.7272727272727273,0.04202090233982616,26187,10,79.41294693946838,0,133,23,0,0,0,0,0
0.4847148058902775,0.4691358024691358,0.4383561643835616,0.7272727272727273,0.04196152250246191,0.4847148058902775,0.4691358024691358,0.4383561643835616,0.7272727272727273,0.04196152250246191,26321,10,79.85137152671814,0,124,41,0,0,0,0,0
0.48506972525661796,0.4691358024691358,0.43902439024390244,0.7272727272727273,0.041827245479880974,0.48506972525661796,0.4691358024691358,0.43902439024390244,0.7272727272727273,0.041827245479880974,26481,10,80.384028673172,0,150,39,0,0,0,0,0
0.4857393469658939,0.47332859174964437,0.43902439024390244,0.7272727272727273,0.041806821797652785,0.4857393469658939,0.47332859174964437,0.43902439024390244,0.7272727272727273,0.041806821797652785,26617,10,80.8461742401123,0,126,28,0,0,0,0,0
