smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
C=c1cccc2cccc3c4cccc5cccc4c2c5c3c1=C,1,34,0.7105263157894737,0.7105263157894737,0.0006015300750732422,
c1cc2cccc3c4c5cccc(c6cccc2c6c5c1)c34,0,59,0.726027397260274,0.726027397260274,0.0006504058837890625,
c1cc2c3cccc4c5cccc6ccc2c5c4c(c1)c6c3,0,127,0.7027027027027027,0.7027027027027027,0.0008599758148193359,
c1ccc2c3c4cccc5c(ccc4)c2c5c2ccc2c3c1,0,8,0.726027397260274,0.726027397260274,0.0006930828094482422,
C1#CC1C=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,5,141,0.6962025316455697,0.6962025316455697,0.0006544589996337891,
CCC=c1cccc2cccc3c1c1cccc4c(ccc1)c3c24,5,287,0.7012987012987013,0.7012987012987013,0.000591278076171875,
CC=c1c2cccc3cccc2c2c1cccc1cccc1c32,2,150,0.7297297297297297,0.7297297297297297,0.0005404949188232422,
C=Cc1cc2c3cccc4c1cccc1cccc5cccc(c14)c3c52,2,52,0.7125,0.7125,0.0006420612335205078,
c1cc2cccc3c(c1)c1ccccc4c5ccc5c1c2c34,0,159,0.7027027027027027,0.7027027027027027,0.0006878376007080078,
C#CC(C)=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,5,237,0.7051282051282052,0.7051282051282052,0.0006470680236816406,
Cc1cc2c1c1cccc3cccc1c1c4cccc5cccc4c1c2c35,0,54,0.7073170731707317,0.7073170731707317,0.0009818077087402344,
C1#CC(=c2c3cccc4cccc5c6cccc4c(ccc3)c5c26)C1,0,48,0.6962025316455697,0.6962025316455697,0.0006229877471923828,
c1cc2cc3c4c5cccc6c(ccc5)c3c6ccc4c2c1,1,167,0.726027397260274,0.726027397260274,0.0006515979766845703,
CC=CC=c1c2cccc3cccc1c1c4cccc2cccc4c31,6,148,0.6962025316455697,0.6962025316455697,0.0006375312805175781,
CC1Cc2c3cccc3cccc3c4cccc5cccc4c3c1c25,1,35,0.6962025316455697,0.6962025316455697,0.0006146430969238281,
